From	Protein names	Gene Names	Subcellular location	Transmembrane
Q9LY62	Glycosylinositol phosphorylceramide mannosyl transferase 1 (GIPC mannosyl-transferase 1) (EC 2.4.1.-) (Glycosyltransferase family 64 protein C4) (GT64 C4) (Protein ECTOPICALLY PARTING CELLS 1) (AtEPC1)	GMT1 EPC1 At3g55830 F27K19.10	Golgi apparatus membrane; Single-pass type II membrane protein.	"TRANSMEM 27..49; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q84K05	Fcf2 pre-rRNA processing protein (Uncharacterized protein At1g54770)	At1g54770 AT1G54770 T22H22.18 T22H22_18	Nucleus	
Q9MAU3	Transcription initiation factor TFIID subunit 6 (Protein EMBRYO DEFECTIVE 2781) (TATA box associated factor II 59) (TBP-associated factor 6) (AtTAF6) (Transcription initiation factor TFIID subunit D5)	TAF6 EMB2781 TAFII59 At1g04950 F13M7.6	Nucleus.	
Q9LUW0	Linoleate 9S-lipoxygenase 5 (EC 1.13.11.58) (Lipoxygenase 5) (AtLOX5)	LOX5 At3g22400 MCB17.13	Cytoplasm	
Q9ZRW8	Glutathione S-transferase U19 (AtGSTU19) (EC 2.5.1.18) (GST class-tau member 19) (Glutathione S-transferase 8)	GSTU19 GST8 At1g78380 F3F9.11	Cytoplasm, cytosol.	
Q38997	SNF1-related protein kinase catalytic subunit alpha KIN10 (AKIN10) (EC 2.7.11.1) (AKIN alpha-2) (AKINalpha2) (SNF1-related kinase 1.1) (SnRK1.1)	KIN10 AK21 AKIN10 SKIN10 SNR2 SNRK1.1 At3g01090 T4P13.22	[Isoform 1]: Plastid, chloroplast. Cytoplasm. Nucleus. Golgi apparatus. Shuttles from the cytoplasm to the nucleus when associated with a FLZ protein.; [Isoform 2]: Cytoplasm. Nucleus. Endoplasmic reticulum. Co-localized with ER marker when associated with FLZ6 or FLZ10.	
F4JGR5	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 2 (PFP 2) (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent 2) (PPi-PFK 2) (Protein MATERNAL EFFECT EMBRYO ARREST 51) (Pyrophosphate-dependent 6-phosphofructose-1-kinase 2)	PFP-BETA2 MEE51 At4g04040 T24H24.15	Cytoplasm.	
Q9SL43	Peptide methionine sulfoxide reductase A5 (AtMSRA5) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase)	MSRA5 At2g18030 T27K22.10	Cell_membrane	
Q9LS47	Calcineurin b subunit (Protein phosphatase 2b regulatory subunit)-like protein (Calcium-binding EF-hand family protein) (Uncharacterized protein At3g18430)	At3g18430 AT3G18430	Unknown	
Q9LHF1	Leucine-rich repeat extensin-like protein 4 (AtLRX4) (LRR/EXTENSIN4) (Cell wall hydroxyproline-rich glycoprotein)	LRX4 At3g24480 MXP5.6	Secreted, cell wall.	
C0LGX1	Probable LRR receptor-like serine/threonine-protein kinase At5g65240 (EC 2.7.11.1)	At5g65240 MQN23.19	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 220..240; /note=""Helical""; /evidence=""ECO:0000255"""
P56791	50S ribosomal protein L2, chloroplastic	rpl2-A rpl2-1 AtCg00830; rpl2-B rpl2-2 AtCg01310	Plastid, chloroplast.	
P58684	Signal peptidase complex subunit 2 (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit)	At2g39960 T28M21.12	Endoplasmic reticulum membrane; Multi-pass membrane protein.	"TRANSMEM 47..69; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 79..98; /note=""Helical""; /evidence=""ECO:0000255"""
Q84L08	GDP-fucose transporter 1 (GDP-mannose transporter GONST4) (Protein GOLGI NUCLEOTIDE SUGAR TRANSPORTER 4)	GFT1 GONST4 At5g19980 F28I16.130	Golgi apparatus membrane; Multi-pass membrane protein.	"TRANSMEM 17..37; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 71..91; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 103..123; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 132..152; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 156..176; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 231..251; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 260..280; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 283..303; /note=""Helical""; /evidence=""ECO:0000255"""
O04193	LIM domain-containing protein WLIM2a (Widely-expressed LIM protein 2) (AtWLIM2)	WLIN2A WLIM2 At2g39900 T28M21.6	Cytoplasm, cytoskeleton.	
Q96520	Peroxidase 12 (Atperox P12) (EC 1.11.1.7) (ATP4a) (PRXR6)	PER12 P12 At1g71695 F14O23.6 F26A9.5	Secreted. Vacuole. Carboxy-terminal extension appears to target the protein to vacuoles.	
Q6NQ79	AT-rich interactive domain-containing protein 4 (ARID domain-containing protein 4)	ARID4 At3g43240 F7K15.90	Nucleus.	
Q3ECP0	General transcription and DNA repair factor IIH subunit TFB1-1 (AtTFB1-1) (TFIIH subunit TFB1-1) (RNA polymerase II transcription factor B subunit 1-1)	TFB1-1 GTF2H1-1 At1g55750 F20N2.15	Nucleus.	
A3KPF3	ARM repeat superfamily protein (At3g02710)	At3g02710 AT3G02710 F16B3.34 F16B3_34	Nucleus.	
Q42418	Profilin-2 (AtPROF2) (AthPRF2)	PRF2 PFN2 PRO2 At4g29350 F17A13.170	Cytoplasm, cytoskeleton. Endoplasmic reticulum. Cytoplasm, cytosol. Nucleus.	
Q9SUL8	Protein YIP	YIP4b At4g30260 AT4G30260 F9N11.110 F9N11_110	Membrane; Multi-pass membrane protein.	"TRANSMEM 222..240; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264""; TRANSMEM 247..268; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264""; TRANSMEM 274..295; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264""; TRANSMEM 302..323; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264""; TRANSMEM 335..354; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264"""
Q96253	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	At1g51650 F19C24.25	Mitochondrion. Mitochondrion inner membrane.	
Q9FF88	At5g23920 (Transmembrane protein) (Uncharacterized protein At5g23920)	MRO11.4 MRO11_4 At5g23920 AT5G23920	Mitochondrion	"TRANSMEM 33..63; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 91..110; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 192..214; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
A0A2P2CLC3	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1	Cell membrane; Multi-pass membrane protein. Membrane; Multi-pass membrane protein.	"TRANSMEM 72..94; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 106..129; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 149..171; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 177..196; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 233..254; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 266..283; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 303..324; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9ZQQ0	Serine carboxypeptidase-like 26 (EC 3.4.16.-)	SCPL26 At2g35780 T20F21.2	Secreted.	
A0A1P8BCS7	DNA helicase (EC 3.6.4.12)	XPB2 ATXPB2 MYC6.7 MYC6_7 At5g41360 AT5G41360	Nucleus	
P0DKC7	11-beta-hydroxysteroid dehydrogenase-like 4A (EC 1.1.1.-) (17-beta-hydroxysteroid dehydrogenase-like 4A) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 4) (AtHSD4)	HSD4 At5g50590 MBA10.15	Membrane; Single-pass type II membrane protein.	"TRANSMEM 10..30; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q9ASQ2	Transcription factor MAMYB (Membrane-anchored MYB)	MAMYB At5g45420 MFC19.9	Endoplasmic reticulum membrane; Multi-pass membrane protein. Nucleus. Its endoplasmic reticulum membrane localization is not compatible with its transcription factor activity in the nucleus. May be cleaved to target the nucleus. A truncated form of MAMYB (amino acids 84 to 309) lacking the 2 transmembrane domains is localized to the nucleus.	"TRANSMEM 35..55; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 63..83; /note=""Helical""; /evidence=""ECO:0000255"""
Q9LYS2	ABC transporter C family member 10 (ABC transporter ABCC.10) (AtABCC10) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 14) (Glutathione S-conjugate-transporting ATPase 14) (Multidrug resistance-associated protein 14)	ABCC10 MRP10 MRP14 At3g59140 F17J16.190	Membrane; Multi-pass membrane protein.	"TRANSMEM 23..43; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 58..78; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 87..107; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 124..144; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 147..167; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 290..310; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 312..332; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 415..435; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 511..531; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 889..909; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 925..945; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 993..1013; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1020..1040; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1128..1148; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441"""
Q9FZ80	Cytosolic sulfotransferase 17 (AtSOT17) (EC 2.8.2.38) (Desulfoglucosinolate sulfotransferase C) (AtST5c)	SOT17 ST5C At1g18590 F25I16.7 F25I16_11	Cytoplasm.	
O80961	MLO-like protein 12 (AtMlo12) (AtMlo18)	MLO12 At2g39200 T16B24.16	Membrane; Multi-pass membrane protein.	"TRANSMEM 14..34; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 60..80; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 156..176; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 279..299; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 309..329; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 363..383; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 406..426; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
Q6NMS0	Glutathione S-transferase U12 (AtGSTU12) (EC 2.5.1.18) (GST class-tau member 12)	GSTU12 At1g69920 T17F3.5	Nucleus.	
Q9FL63	Inactive leucine-rich repeat receptor-like serine/threonine-protein kinase At5g24100	At5g24100 MZF18.1	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 252..272; /note=""Helical""; /evidence=""ECO:0000255"""
F4IY77	Biotin/lipoyl attachment domain-containing protein	At3g56130 AT3G56130	Chloroplast	
Q03251	Glycine-rich RNA-binding protein 8 (AtGR-RBP8) (AtRBG8) (Glycine-rich protein 8) (AtGRP8) (Protein COLD, CIRCADIAN RHYTHM, AND RNA BINDING 1) (Protein CCR1) (Small RNA binding protein 2) (AtSRBP2)	RBG8 CCR1 GR-RBP8 GRP8 SRBP2 At4g39260 T22F8.160	Cytoplasm. Nucleus. Secreted. Shuttling between nucleus and cytoplasm. Relocalization from the cytoplasm into the nucleus is mediated by TRN1 (By similarity). Observed in the phloem translocation stream (PubMed:31812689).	
Q9CAB7	Probable peroxygenase 4 (AtPXG4) (EC 1.11.2.3) (Caleosin-4)	PXG4 CLO4 At1g70670 F5A18.15	Lipid droplet.	
Q9LM92	Small nuclear ribonucleoprotein SmD3b (SmD3-b) (snRNP core protein D3-b)	SMD3B At1g20580 F2D10.7 F5M15.9	Cytoplasm, cytosol. Nucleus. SMN-mediated assembly into core snRNPs occurs in the cytosol before SMN-mediated transport to the nucleus to be included in spliceosomes.	
Q9STP8	Acyl-CoA-binding domain-containing protein 2 (Acyl-CoA binding protein 2)	ACBP2 At4g27780 T27E11.20	Cell membrane; Single-pass membrane protein. Endoplasmic reticulum membrane; Single-pass membrane protein. Peroxisome membrane; Single-pass membrane protein.	"TRANSMEM 11..31; /note=""Helical; Signal-anchor""; /evidence=""ECO:0000255"""
Q9LZ97	Trafficking protein particle complex subunit	At5g02280 AT5G02280 T1E22.40 T1E22_40	Endoplasmic reticulum. Golgi apparatus, cis-Golgi network.	
Q940Y8	Kinesin-like protein KIN-13B (AtKINESIN-13B) (AtKIN13B)	KIN13B KINESIN-13B At3g16060 MSL1.9	Unknown	
Q9C6B9	Phosphoethanolamine N-methyltransferase 3 (EC 2.1.1.103)	NMT3 At1g73600 F25P22.1 F6D5.1	Cytoplasm.	
Q8GWP6	Selenoprotein family protein (Uncharacterized protein At1g05720) (Uncharacterized protein At1g05720/F3F20_17)	At1g05720/F3F20_17 AT1G05720 F3F20.17 F3F20_17	Unknown	
F4JBM4	RHOMBOID-like protein 4 (AtRBL4) (EC 3.4.21.-)	RBL4 At3g53780 F5K20.80	Membrane; Multi-pass membrane protein.	"TRANSMEM 64..84; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 147..167; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 201..221; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 231..251; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 254..274; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 300..320; /note=""Helical""; /evidence=""ECO:0000255"""
F4J504	Superoxide dismutase (EC 1.15.1.1)	MSD1 ATMSD1 AtSOD1 MEE33 superoxide dismutase 1 At3g10920 AT3G10920	Mitochondrion	
F4IPW5	Elongation factor family protein	EMB2785 EMBRYO DEFECTIVE 2785 At2g31060 AT2G31060 T16B12.13 T16B12_13	Cytoplasm, Chloroplast	
F4IHK9	Cold, circadian rhythm, and rna binding 2	GRP7 and rna binding 2 ATGPR7 ATGRP7 CCR2 circadian rhythm cold GLYCINE RICH PROTEIN 7 GR-RBP7 At2g21660 AT2G21660 F2G1.4	Unknown	
Q9XEE9	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Protein LEAF WILTING 3)	ALG11 LEW3 At2g40190 T07M07.7	Endoplasmic reticulum membrane; Multi-pass membrane protein.	"TRANSMEM 3..23; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 204..226; /note=""Helical""; /evidence=""ECO:0000255"""
O23220	Alpha/beta-Hydrolases superfamily protein (At4g36610) (Uncharacterized protein At4g36610) (Uncharacterized protein C7A10.750)	C7A10.750 AP22.94 AP22_94 At4g36610 AT4G36610	Unknown	
Q9FXT6	Peroxisomal membrane protein PEX14 (Peroxin-14) (AtPEX14) (Peroxisome biogenesis protein 14) (Pex14p) (Protein PEROXISOME DEFECTIVE 2)	PEX14 PED2 At5g62810 MQB2.13	Peroxisome membrane; Single-pass membrane protein.	"TRANSMEM 153..173; /note=""Helical""; /evidence=""ECO:0000255"""
Q8L719	THO complex subunit 4B (ALYREF homolog 2) (AtALY2)	ALY2 THO4B At5g02530	Nucleus, nucleoplasm.	
Q5QIT3	Serine/threonine protein phosphatase 2A regulatory subunit B''beta (AtB''beta) (Serine/threonine protein phosphatase 2A regulatory subunit B'' beta 1 isoform) (PP2A, B'' subunit, beta 1 isoform)	B''BETA At5g28850 F7P1.30	Nucleus	
Q9SY33	Peroxidase 7 (Atperox P7) (EC 1.11.1.7) (ATP30)	PER7 P7 At1g30870 F17F8.26 T17H7.19	Secreted.	
O22151	Golgi SNAP receptor complex member 1-2 (Golgi SNARE 12 protein) (AtGOS12)	GOS12 At2g45200 F4L23.29	Golgi apparatus membrane; Single-pass type IV membrane protein. Endoplasmic reticulum membrane; Single-pass type IV membrane protein.	"TRANSMEM 236..256; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255"""
O82089	Copper transport protein CCH (Copper chaperone CCH)	CCH At3g56240 F18O21.200	Cytoplasm	
Q94C90	Protein arginine methyltransferase NDUFAF7 (EC 2.1.1.320)	At1g04900 AT1G04900 F13M7.11 F13M7_11	Mitochondrion.	
Q8LDR3	Peptidyl-prolyl cis-trans isomerase CYP23 (PPIase CYP23) (EC 5.2.1.8) (Cyclophilin of 23 kDa) (Cyclophilin-23)	CYP23 CYP23-1 At1g26940 T2P11.13	Endoplasmic reticulum.	
A0A1P8B436	allantoinase (EC 3.5.2.5)	ALN allantoinase ATALN At4g04955 AT4G04955	Chloroplast, Cytoplasm	
Q9SLU9	F19C14.4 protein (Serine esterase family protein) (Uncharacterized protein At1g58350) (ZW18 protein)	ZW18 At1g58350 AT1G58350 F19C14.4 F19C14_4	Unknown	
A0A1P8AUD3	Disease resistance protein (TIR-NBS-LRR class)	At1g27180 AT1G27180 T7N9.24 T7N9_24	Cytoplasm, Nucleus	
Q94AI8	Expp1 protein (Uncharacterized protein At3g11800)	At3g11800 AT3G11800	Extracellular	
Q93XX8	H/ACA ribonucleoprotein complex subunit 3-like protein (Nucleolar protein 10)	At2g20490 T13C7.8	Nucleus, nucleolus.	
P51420	60S ribosomal protein L31-3	RPL31C RPL31 At5g56710 MIK19.16	Cytoplasm	
Q9M2D7	Glycosyltransferase (O-glucosyltransferase rumi-like protein (DUF821)) (Uncharacterized protein At3g61270) (Uncharacterized protein T20K12.170)	T20K12.170 AT3G61270	Unknown	"TRANSMEM 21..44; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9LYN0	PRA1 family protein B1 (AtPRA1.B1) (Prenylated Rab acceptor 6)	PRA1B1 PRA6 At3g56110 F18O21.70	Endosome membrane; Multi-pass membrane protein.	"TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 95..115; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 133..153; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 154..174; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 185..205; /note=""Helical""; /evidence=""ECO:0000255"""
Q9FMN0	Sterol carrier protein 2 (AtSCP2)	SCP2 At5g42890 MBD2.8	Peroxisome.	
Q9SA85	Berberine bridge enzyme-like 8 (AtBBE-like 8) (EC 1.1.1.-)	At1g30700 T5I8.15	Secreted, cell wall.	
A0A1I9LTL7	Evolutionarily conserved C-terminal region 5	ECT5 MGH6.21 At3g13060 AT3G13060	Nucleus	
F4JZM1	Eukaryotic aspartyl protease family protein	At5g19110 AT5G19110 T24G5.10 T24G5_10	Extracellular	
A0A1P8AVJ9	Glycosyltransferase (EC 2.4.2.-)	RGXT3 At1g56550 AT1G56550 F25P12.100 F25P12_100	Golgi apparatus membrane; Single-pass type II membrane protein.	"TRANSMEM 21..40; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU363055"""
Q9SSP6	At1g52420 (F6D8.36 protein) (Glycosyl transferase, putative) (Glycosyl transferase, putative; 4406-2038) (Glycosyltransferase) (Putative glycosyl transferase) (UDP-Glycosyltransferase superfamily protein)	F6D8.36 At1g52420 AT1G52420 F19K6.13	Unknown	"TRANSMEM 54..71; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9STW3	Protein DMP3 (AtDMP3)	DMP3 At4g24310 T22A6.140	Endoplasmic reticulum membrane; Multi-pass membrane protein.	"TRANSMEM 45..65; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 74..94; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..196; /note=""Helical""; /evidence=""ECO:0000255"""
Q0WQK2	Probable protein S-acyltransferase 7 (EC 2.3.1.225) (Probable palmitoyltransferase At3g26935) (Zinc finger DHHC domain-containing protein At3g26935)	PAT07 At3g26935 MOJ10.1	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 44..64; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 76..96; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 193..213; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 237..257; /note=""Helical""; /evidence=""ECO:0000255"""
P93749	Probable protein kinase At2g41970 (EC 2.7.11.-)	At2g41970 T6D20.14	Cytoplasm, Nucleus	
Q8RWB8	E3 ubiquitin-protein ligase UPL6 (Ubiquitin-protein ligase 6) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL6)	UPL6 At3g17205 MCE21.4 MGD8.25	Nucleus	
Q9ZVJ4	Peptidyl-prolyl cis-trans isomerase CYP22 (PPIase CYP22) (EC 5.2.1.8) (Cyclophilin of 22 kDa) (Cyclophilin-22)	CYP22 CYP22-1 At2g38730 T6A23.7	Cytoplasm	
Q96528	Catalase-1 (EC 1.11.1.6)	CAT1 At1g20630 F2D10.11 F5M15.31	Cytoplasm.	
Q9SQR1	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)	AT3G04010 T11I18.12 T11I18_12	Unknown	
A0A1P8AQC9	Exostosin family protein	At1g67410 AT1G67410 F1N21.23	Golgi apparatus membrane; Single-pass type II membrane protein. Membrane; Single-pass type II membrane protein.	
Q94AS5	Isoprenylcysteine alpha-carbonyl methylesterase ICME (EC 3.1.1.n2) (Isoprenylcysteine methylesterase) (Prenylcysteine methylesterase) (AtPCME)	ICME PCME At5g15860 F14F8.240	Endoplasmic reticulum membrane. Golgi apparatus membrane; Multi-pass membrane protein.	"TRANSMEM 102..122; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 157..177; /note=""Helical""; /evidence=""ECO:0000255"""
Q8VZI2	DUF21 domain-containing protein At4g33700 (CBS domain-containing protein CBSDUF6)	CBSDUF6 At4g33700 T16L1_190	Membrane; Multi-pass membrane protein.	"TRANSMEM 12..32; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 71..91; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 95..115; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 137..157; /note=""Helical""; /evidence=""ECO:0000255"""
Q06588	1-aminocyclopropane-1-carboxylate oxidase 4 (ACC oxidase) (EC 1.14.17.4) (Ethylene-forming enzyme) (EFE)	ACO4 ACO1 EAT1 At1g05010 T7A14.12	Cytoplasm	
Q9FKN5	Cardiomyopathy-associated protein (Gb|AAC35233.1|)	MPI7.8 MPI7_8 At5g17910 AT5G17910	Nucleus	"TRANSMEM 24..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 50..74; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
O49354	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (EMBRYO DEFECTIVE 3002) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)	COQ3 EMB3002 At2g30920 F7F1.13	Mitochondrion inner membrane; Peripheral membrane protein; Matrix side.	
O22714	Pentatricopeptide repeat-containing protein At1g60770	At1g60770 F8A5.28	Mitochondrion	
Q9SSR2	signal peptidase I (EC 3.4.21.89)	AT1G52600 F6D8.18 F6D8_18	Unknown	"TRANSMEM 20..40; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 162..178; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9SSP5	Threonine synthase 2, chloroplastic (EC 4.2.3.1)	TS2 At1g72810 F3N23.1	Plastid, chloroplast.	
O22969	Uncharacterized protein At2g34160	At2g34160 T14G11.28	Nucleus	
Q9SKP6	Triosephosphate isomerase, chloroplastic (TIM) (Triose-phosphate isomerase) (EC 5.3.1.1)	TIM At2g21170 F26H11.7	Plastid, chloroplast.	
Q8L702	Endoplasmic reticulum transmembrane protein	At1g11905 AT1G11905	Endoplasmic reticulum membrane; Multi-pass membrane protein.	"TRANSMEM 6..22; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367026""; TRANSMEM 43..64; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367026""; TRANSMEM 84..104; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367026"""
Q9M1Q2	At3g62220 (Protein kinase superfamily protein) (Serine/threonine protein kinase-like protein)	T17J13.180 At3g62220 AT3G62220	Cytoplasm, Mitochondrion	
F4J8J7	Adenine nucleotide alpha hydrolases-like superfamily protein	AT3G11930	Unknown	
Q9FKL6	Calmodulin-binding protein 60 B	CBP60B At5g57580 MUA2.16	Nucleus.	
Q9XEA1	Protein OSCA1 (CSC1-like protein At4g04340) (Hyperosmolality-gated Ca2+ permeable channel 1.1) (AtOSCA1.1) (Protein reduced hyperosmolality-induced [Ca(2+)]i increase 1)	OSCA1 OSCA1.1 At4g04340 T19B17.6	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 6..26; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 99..119; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 159..179; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 376..396; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 425..445; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 466..486; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 528..548; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 569..589; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 593..613; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 626..646; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 656..676; /note=""Helical""; /evidence=""ECO:0000255"""
F4IIN7	SIT4 phosphatase-associated family protein	At2g28360 AT2G28360 T1B3.12 T1B3_12	Chloroplast	
Q9LFY3	At1g27030/T7N9_9 (T7N9.9)	AT1G27030 T7N9.9 T7N9_9	Unknown	
O65378	1-aminocyclopropane-1-carboxylate oxidase 3 (ACC oxidase 3) (AtACO3) (EC 1.14.17.4)	At1g12010 F12F1.12	Cytoplasm	
Q9ZUF4	Serine/threonine-protein kinase RIPK (EC 2.7.11.1) (ACIK1A/PBL14) (ACRE protein ortholog 264A) (AtACRE264a) (PBS1-like protein 14) (RPM1-induced protein kinase)	RIPK PBL14 PIX8 At2g05940	Cell membrane.	
