Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohC C) / (WT C)	Abundance Ratio (log2): (rbohC C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohC C) / (WT C)	Abundance Ratio P-Value: (rbohC C) / (WT C)	Abundances (Grouped): rbohC C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q9C587	ath:AT5G22010; Q9C587	Replication factor C subunit 1 OS=Arabidopsis thaliana OX=3702 GN=RFC1 PE=2 SV=1	216.765	1067	32	32	0.376	-1.41	0.00053228686744555	6.73608349395227E-05	87852488.3090902	233925066.425683	18.82	26.04	87852488.3090902	89275530.5261126	62555664.0791487	355184208.121005	233925066.425683	230204920.586655	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4I962	F4I962	SIN3-like 3 OS=Arabidopsis thaliana OX=3702 GN=SNL3 PE=1 SV=1	23.165	80	8	4	0.195	-2.36	0.000584924962936668	7.43451637044146E-05	2633849.14632716	13479216.6277717	23.39	39.45	3269111.62184638	2633849.14632716	2031774.45544234	13479216.6277717	10967883.00141	22752142.3649472	High	Peak Found	Not Found	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Not Found	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	7
Q9M3D2	ath:AT3G55170; Q0WT25; Q9M3D2	60S ribosomal protein L35-3 OS=Arabidopsis thaliana OX=3702 GN=RPL35C PE=2 SV=1	54.75	610	9	4	0.291	-1.78	0.000632361314621311	8.0596625562146E-05	17480979.6760591	59987765.7918361	30.69	41.79	28749478.2555493	17448667.1874507	17480979.6760591	59987765.7918361	76735153.1151165	30668881.8468986	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9STT2	ath:AT3G47810; Q3EAN1; Q9STT2	Vacuolar protein sorting-associated protein 29 OS=Arabidopsis thaliana OX=3702 GN=VPS29 PE=2 SV=1	117.475	503	11	11	0.364	-1.46	0.000658313678716732	8.40695747530429E-05	42540437.6973649	116941105.144563	7.15	26.28	39785347.4631445	45886357.7220741	42540437.6973649	116941105.144563	77289519.4749328	132982157.880091	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LVA4	ath:AT5G62350; Q9LVA4	Plant invertase/pectin methylesterase inhibitor superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MMI9.18 PE=1 SV=1	84.785	363	6	5	3.066	1.62	0.000686322572112753	8.77153390190788E-05	82460161.2317484	26892697.8389061	7.59	15.62	82460161.2317484	87677576.2319694	75309005.0612058	20795815.4746328	28199816.6076712	26892697.8389061	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AVK4	A0A1P8AVK4	Disease resistance protein (CC-NBS-LRR class) family OS=Arabidopsis thaliana OX=3702 GN=At1g15890 PE=4 SV=1	15.586	35	5	5	8.773	3.13	0.000698999902254756	8.95059615602101E-05	6510364.64319169	742081.853505259	34.47	151.57	4981452.16568433	6510364.64319169	9763762.91309869	738408.571093884	742081.853505259	16297897.0471416	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	15
Q9FN19	ath:AT5G67320; Q56Y40; Q9FN19	WD40 repeat-containing protein HOS15 OS=Arabidopsis thaliana OX=3702 GN=HOS15 PE=2 SV=1	88.417	467	17	17	3.519	1.81	0.000735214494391275	9.49973449406727E-05	62658203.5658664	17807975.0392861	20.88	30.81	62658203.5658664	79088662.741987	52303360.89427	28550808.2169497	16861795.2352272	17807975.0392861	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O48963	ath:AT3G45780; O48963	Phototropin-1 OS=Arabidopsis thaliana OX=3702 GN=PHOT1 PE=1 SV=1	15.073	20	7	6	0.148	-2.75	0.000747775383639701	9.6657879266715E-05	1408309.22947775	9494113.09967077	85.26	10.3	1408309.22947775	259788.25334084	2790110.27518752	9494113.09967077	10744409.3207939	8776641.58409735	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	High	6
Q7XA68	Q7XA68	At1g01640 OS=Arabidopsis thaliana OX=3702 GN=At3g01790 PE=1 SV=1	37.888	181	10	10	0.307	-1.7	0.000862795806327101	0.000111698729206244	19029074.6403564	61966839.7970944	7.24	25.95	18066053.4693568	20821815.1444384	19029074.6403564	61966839.7970944	69926464.9211317	40981033.6213433	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1I9LP30	A0A1I9LP30; ath:AT3G18280	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g18280 PE=1 SV=1	12.016	69	4	4	0.29	-1.78	0.000865930895063268	0.000112191538585327	10292890.2518485	35443425.9535351	39.34	22.45	10292890.2518485	16792285.7573793	7924935.15571022	31265637.1055102	47738586.1643717	35443425.9535351	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	Peak Found	Peak Found	13
Q9FG37	ath:AT5G06680; Q9FG37	Gamma-tubulin complex component 3 OS=Arabidopsis thaliana OX=3702 GN=GCP3 PE=1 SV=1	248.674	1271	38	38	0.387	-1.37	0.000875816430233019	0.000113604219452945	94920707.8970811	244964866.184985	65.86	19.93	73369582.5483648	94920707.8970811	237205657.612336	244964866.184985	249680999.024228	170848347.463736	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O23180	ath:AT4G37060; O23180	Patatin-like protein 5 OS=Arabidopsis thaliana OX=3702 GN=PLP5 PE=1 SV=2	138.308	671	16	14	3.459	1.79	0.000918435906647101	0.000119409115918678	63156976.6752429	18257019.1189172	46.89	19.67	26945907.9845655	78047571.1003635	63156976.6752429	18257019.1189172	12720713.0455965	18392624.9989787	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P10798	ath:AT5G38410; P10798; Q9FF21	Ribulose bisphosphate carboxylase small subunit 3B, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RBCS-3B PE=1 SV=2	23.734	89	6	2	0.116	-3.11	0.000918688296704162	0.000119626396348105	595725.900831836	5151719.34597368	52.06	9.93	933700.585065088	595725.900831836	299447.265703825	5220098.22456036	4343974.13335459	5151719.34597368	High	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	7
Q42403	ath:AT5G42980; Q42403	Thioredoxin H3 OS=Arabidopsis thaliana OX=3702 GN=TRX3 PE=1 SV=1	124.314	492	12	12	0.35	-1.51	0.00096898594835255	0.000126273155058643	36532811.0441959	104332318.87081	90.05	36.9	135118168.039213	27367019.9880125	36532811.0441959	143210586.634636	104332318.87081	66066348.040002	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q0WPR4	ath:AT5G23210; Q0WPR4; Q3E976; Q9FMX9	Serine carboxypeptidase-like 34 OS=Arabidopsis thaliana OX=3702 GN=SCPL34 PE=2 SV=2	128.2	701	17	15	2.633	1.4	0.000978351208806459	0.000127542698121097	195546917.191922	74272611.6853533	36.48	19.31	195546917.191922	231038113.574354	105517412.724466	74272611.6853533	54729833.7384523	80616009.3950815	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LIA2	ath:AT3G29400; Q9LIA2	Exocyst subunit Exo70 family protein OS=Arabidopsis thaliana OX=3702 GN=EXO70E1 PE=1 SV=1	21.719	55	8	8	0.155	-2.69	0.000991078097756777	0.000129351089511953	1528830.61214153	9878600.4428939	11.61	31.03	1365388.12284252	1528830.61214153	1722420.56563737	9930052.83843654	5390598.23228583	9878600.4428939	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	14
F4JM19	ath:AT4G28710; F4JM19; Q9M0G3; Q9SVT9	Myosin-14 OS=Arabidopsis thaliana OX=3702 GN=XI-H PE=3 SV=1	357.156	1747	55	44	0.451	-1.15	0.00108740390234674	0.000142414375845723	204393412.517307	453116914.256599	5.91	15.54	193761329.190709	204393412.517307	217976912.937245	582854447.78889	446793281.222374	453116914.256599	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
B9DH36	B9DH36	GDP-L-fucose synthase OS=Arabidopsis thaliana OX=3702 GN=GER2 PE=1 SV=1	65.321	152	10	6	4.707	2.23	0.00110248695298488	0.000144500448483686	20091469.8072611	4268071.12261458	12.76	29.89	20127748.5672925	20091469.8072611	15968870.9714193	6631513.03647177	3917651.67786279	4268071.12261458	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	16
P93655	O04954; P93655; Q8RWX1	Lon protease homolog 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=LON1 PE=1 SV=2	45.202	126	15	14	0.269	-1.89	0.00111676543506738	0.000146540075662172	5981605.74624601	22241705.4537878	39.34	10.65	5981605.74624601	9105321.04222431	4120522.13895562	23152485.6244224	22241705.4537878	18826882.6014989	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	12
F4IYR7	ath:AT3G15410; F4IYR7	Leucine-rich repeat (LRR) family protein OS=Arabidopsis thaliana OX=3702 GN=At3g15410 PE=1 SV=1	45.321	116	15	15	4.766	2.25	0.00113853393592271	0.000149510806504383	18749136.7796785	3933680.13941291	24.14	71.28	20823289.0917377	18749136.7796785	12721640.8953836	3929604.08607239	3933680.13941291	12180674.8499652	High	High	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	16
F4ITF9	ath:AT2G19710; F4ITF9	Regulator of Vps4 activity in the MVB pathway protein OS=Arabidopsis thaliana OX=3702 GN=At2g19710 PE=1 SV=1	14.845	33	4	4	0.222	-2.17	0.00115969024599656	0.000152347240287787	3657644.745318	16453276.5263166	34.08	45.92	4880213.08354605	3657644.745318	2396252.33535584	14671697.1882552	16453276.5263166	32311037.9585554	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	11
Q9M1E5	Q9M1E5	Transducin/WD40 repeat-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=F9K21.200 PE=1 SV=1	49.023	221	11	11	0.285	-1.81	0.00117966243178194	0.000155267049652741	9323997.60154653	32767769.4940574	23.01	25	9323997.60154653	7799734.1005497	12231840.1894919	20525865.6419724	33250438.7156074	32767769.4940574	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8ASX9	A0A1P8ASX9; ath:AT1G50120	Immunoglobulin OS=Arabidopsis thaliana OX=3702 GN=At1g50120 PE=1 SV=1	40.348	220	11	11	3.39	1.76	0.0011902946426617	0.000156785961665795	48372567.343183	14267695.5153057	31.92	28.39	39123195.4668651	72037040.0814266	48372567.343183	20982633.1429052	14267695.5153057	12409530.5453567	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4JNM2	F4JNM2	Regulator of Vps4 activity in the MVB pathway protein OS=Arabidopsis thaliana OX=3702 GN=At4g29440 PE=1 SV=1	11.958	12	4	4	0.239	-2.07	0.00120282827893245	0.00015849727584949	4787335.33741439	20032330.7128349	16.37	70.22	4787335.33741439	4755556.5516226	6265426.18364203	20032330.7128349	5402383.29625818	32492715.6753534	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	Peak Found	Peak Found	Peak Found	6
O80612	ath:AT2G02970; O80612; Q56WA2; Q94EZ2	Probable apyrase 6 OS=Arabidopsis thaliana OX=3702 GN=APY6 PE=2 SV=2	6.683	25	4	2	0.279	-1.84	0.00123245791441401	0.000162525322080498	8479157.78478829	30398080.9937839	40.54	36.74	11783741.6674475	8479157.78478829	4965996.84901886	30398080.9937839	30935982.8405666	14572454.5173771	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Not Found	Peak Found	Not Found	Peak Found	High	High	Not Found	Not Found	High	Not Found	Peak Found	High	6
Q8RWW8	Q8RWW8	Rab3 GTPase-activating protein catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=MQJ2.13 PE=1 SV=1	12.327	27	4	4	0.32	-1.64	0.0012544630787703	0.000165616078367847	16233443.407997	50708343.5359469	96.74	20.75	30258599.4658752	16233443.407997	180816.502691416	52451311.7667089	35085183.1749439	50708343.5359469	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	High	High	Peak Found	High	Peak Found	7
P94111	ath:AT1G74020; P94111; Q9C9C3	Protein STRICTOSIDINE SYNTHASE-LIKE 12 OS=Arabidopsis thaliana OX=3702 GN=SSL12 PE=2 SV=2	150.902	780	16	15	0.457	-1.13	0.00137097059513987	0.000181066394047136	400979806.905538	877835207.306865	13.03	8.48	488684565.98135	386148679.314435	400979806.905538	877835207.306865	799132855.67605	947315953.453936	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9ZW84	ath:AT2G43100; Q9ZW84	3-isopropylmalate dehydratase small subunit 2 OS=Arabidopsis thaliana OX=3702 GN=SSU2 PE=1 SV=1	47.826	187	8	6	0.229	-2.12	0.00139448935833333	0.000184522561546441	3295915.4218092	14375355.4295781	28.14	47.78	3960937.68349093	2203184.21912358	3295915.4218092	9440721.49794851	24544770.7290086	14375355.4295781	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	High	High	High	High	High	Peak Found	High	13
Q9C5M5	ath:AT1G27000; Q9C5M5	At1g27000/T7N9_6 OS=Arabidopsis thaliana OX=3702 GN=At1g27000 PE=1 SV=1	15.707	30	7	7	0.088	-3.5	0.00147002921188716	0.000194960954661205	338960.881500649	3846076.39658586	93.69	24.97	1025605.70988217	338960.881500649	132534.568644104	3846076.39658586	2404328.6506183	3884433.28765286	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	7
Q9LZF1	ath:AT5G03380; Q9LZF1	Heavy metal-associated isoprenylated plant protein 6 OS=Arabidopsis thaliana OX=3702 GN=HIPP06 PE=1 SV=1	36.932	168	5	5	3.739	1.9	0.00161192472603243	0.00021418426533848	27496819.6916093	7354853.738944	7.4	49.74	27496819.6916093	29698116.024907	25616946.2809375	2631643.23802854	8275791.20566195	7354853.738944	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4IV99	ath:AT2G13370; F4IV99; Q9SI41	Protein CHROMATIN REMODELING 5 OS=Arabidopsis thaliana OX=3702 GN=CHR5 PE=1 SV=1	26.593	111	11	11	4.81	2.27	0.00173004261032332	0.000230487078349384	18078968.285027	3758502.00044984	21.79	12.88	24483552.9122278	16361973.341595	18078968.285027	3205522.47141246	3758502.00044984	4156376.01460847	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	17
O22911	O22911	At2g47370 OS=Arabidopsis thaliana OX=3702 GN=At2g47370 PE=1 SV=1	36.809	227	5	2	0.08	-3.65	0.00186829461900295	0.000249562370421508	228729.844445353	2872061.82785692	52.64	28.95	228729.844445353	477708.620927117	187815.686536049	2872061.82785692	2799994.85957266	4541891.09764931	High	Peak Found	Peak Found	Peak Found	High	Not Found	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	12
Q9SI20	ath:AT2G18110; Q7GA96; Q8LB45; Q9SI20	Elongation factor 1-delta 2 OS=Arabidopsis thaliana OX=3702 GN=At2g18110 PE=1 SV=1	69.413	421	12	7	4.4	2.14	0.00187058940458073	0.000250056703197554	19894913.5428908	4521365.45665656	63.86	24.59	3970000.05760726	21203133.739598	19894913.5428908	6571780.85895285	4521365.45665656	4278322.04667525	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	16
Q9SD53	ath:AT3G47200; Q56YU5; Q9SD53	UPF0481 protein At3g47200 OS=Arabidopsis thaliana OX=3702 GN=At3g47200 PE=2 SV=1	145.903	952	24	22	0.454	-1.14	0.00191265581264047	0.000255968093795467	159635320.635583	351419195.796285	16.58	9.5	188483350.684949	159635320.635583	135113268.08766	356166641.108994	351419195.796285	298749350.041041	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4HY56	ath:AT1G28420; F4HY56; Q9SGP0	Homeobox-DDT domain protein RLT1 OS=Arabidopsis thaliana OX=3702 GN=RLT1 PE=1 SV=1	58.671	97	13	13	4.773	2.25	0.00210574607410806	0.000282443326641069	14252816.7486513	2985926.05392899	28.88	19.02	14252816.7486513	13372735.5320857	22063353.7525844	2481257.23805286	3632216.32846828	2985926.05392899	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	Peak Found	11
Q9SW17	ath:AT4G25090; F4JRU6; Q9SW17	Putative respiratory burst oxidase homolog protein G OS=Arabidopsis thaliana OX=3702 GN=RBOHG PE=3 SV=2	219.034	1141	37	35	2.623	1.39	0.00211502123238069	0.000283793572318336	143432550.022411	54692079.8373526	14.28	10.89	129207775.304716	143432550.022411	170745854.614057	54692079.8373526	49617293.0538534	61612758.182863	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4K5B9	ath:AT5G07030; F4K5B9	Eukaryotic aspartyl protease family protein OS=Arabidopsis thaliana OX=3702 GN=MOJ9.20 PE=1 SV=1	204.023	1154	23	23	0.469	-1.09	0.00224658756556412	0.000302011018552317	185593802.976043	395338214.119362	16.21	26.08	231255593.003523	170260038.535272	185593802.976043	395338214.119362	490999486.41323	287093812.607376	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q7XJN0	Q7XJN0; Q9ZS04	DEAD-box ATP-dependent RNA helicase 17 OS=Arabidopsis thaliana OX=3702 GN=RH17 PE=2 SV=1	91.007	296	16	16	3.212	1.68	0.00227143585765774	0.000305693465909362	63123154.3175915	19650719.7257849	13.32	7.74	53972752.4514669	63123154.3175915	70616254.1959033	19650719.7257849	20394057.0836647	17531251.636089	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q96329	ath:AT3G51840; Q96329	Acyl-coenzyme A oxidase 4, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=ACX4 PE=1 SV=1	189.126	752	16	16	0.47	-1.09	0.00232931887640896	0.000313951166264648	185355721.860539	393998893.333328	11.73	7.07	185355721.860539	206932403.583333	163461887.295406	433681178.161948	378594388.019421	393998893.333328	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SVZ8	ath:AT4G25870; Q9SVZ8	At4g25870 OS=Arabidopsis thaliana OX=3702 GN=At4g25870 PE=1 SV=1	63.098	415	14	12	0.351	-1.51	0.00235817967701714	0.000318219482561277	25551133.2465163	72834968.6467688	5.71	39.36	25551133.2465163	23162113.9836786	25674595.2188475	72834968.6467688	121979458.367364	58613963.331383	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FY65	ath:AT5G09500; Q9FY65	40S ribosomal protein S15-3 OS=Arabidopsis thaliana OX=3702 GN=RPS15C PE=2 SV=1	85.305	593	5	2	7.235	2.85	0.0023597969942899	0.000318888284153829	5757147.99177956	795751.93239484	6.54	19.87	5757147.99177956	5547154.17620581	6291528.09223102	795751.93239484	971661.804716378	651731.603359295	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	10
O22854	ath:AT2G43400; O22854	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ETFQO PE=2 SV=1	67.951	353	15	15	0.363	-1.46	0.00236738099776625	0.000320150816122799	25467676.5077878	70168592.9425482	10.37	7.93	27704116.5828589	25467676.5077878	22493048.151066	74478085.3791037	70168592.9425482	63555659.1864806	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4INU4	F4INU4	Phototropic-responsive NPH3 family protein OS=Arabidopsis thaliana OX=3702 GN=RPT2 PE=1 SV=1	43.253	95	9	8	0.276	-1.86	0.00237765338172239	0.000321778701728004	6778245.15318593	24550265.9374253	17.85	10.84	6778245.15318593	5022889.33294805	7121726.25066999	21771778.2386792	24550265.9374253	27071495.2209778	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	10
Q9FE78	ath:AT5G05470; Q9C5N6; Q9FE78	Eukaryotic translation initiation factor 2 subunit alpha OS=Arabidopsis thaliana OX=3702 GN=EIF2A PE=1 SV=1	102.731	552	14	13	0.427	-1.23	0.00240779844630996	0.000325979238476881	67369462.9744442	157702185.976527	10	21.46	67369462.9744442	65585537.5202019	78595054.0692839	157787894.890814	157702185.976527	105574275.669235	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q1ECK2	ath:AT5G64650; Q1ECK2	At5g64650 OS=Arabidopsis thaliana OX=3702 GN=MUB3.17 PE=1 SV=1	41.966	174	8	3	0.138	-2.86	0.00243190358473046	0.000329486861863737	1018852.54622609	7398697.63225999	68.85	12.75	621171.016153184	1018852.54622609	2380596.43328345	7759978.12253995	6049605.83960038	7398697.63225999	High	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	11
F4IVN6	F4IVN6	Calmodulin 5 OS=Arabidopsis thaliana OX=3702 GN=CAM5 PE=4 SV=1	189.203	825	15	2	2.237	1.16	0.00258108025148264	0.000350216350572641	298374794.089157	133400507.336657	17.62	51.99	298374794.089157	318198538.008101	224487921.01948	288543992.967916	119510151.374188	133400507.336657	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	14
F4HW04	ath:AT1G08260; B3H4I0; F4HW04; Q9SGD5	DNA polymerase epsilon catalytic subunit A OS=Arabidopsis thaliana OX=3702 GN=POL2A PE=1 SV=1	34.439	97	14	9	4.14	2.05	0.00258253156900262	0.00035067255128518	20462346.0168655	4942161.74349569	29.06	42.3	20462346.0168655	30853473.521955	18230246.4291962	7670098.5330373	3239113.50233246	4942161.74349569	High	High	High	Peak Found	High	High	High	Peak Found	High	High	High	Peak Found	High	High	High	Peak Found	Peak Found	High	13
Q9FGZ3	ath:AT5G49530; Q9FGZ3	SIN-like family protein OS=Arabidopsis thaliana OX=3702 GN=At5g49530 PE=1 SV=1	38.808	252	12	12	3.51	1.81	0.00263439652104948	0.000357847346315943	32462438.3438807	9247908.08047483	7.15	15.27	35146056.8159957	30490007.5178412	32462438.3438807	9247908.08047483	11066231.2428029	8198729.42994534	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q42560	ath:AT4G35830; Q42560; Q9SZT1	Aconitate hydratase 1 OS=Arabidopsis thaliana OX=3702 GN=ACO1 PE=1 SV=2	276.641	1216	38	29	0.439	-1.19	0.00264185637902555	0.000358993284374387	78554146.0594232	179075112.511748	18.89	8.36	91449327.937054	62270407.1764794	78554146.0594232	179075112.511748	190041924.838973	160795175.826243	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4JN13	F4JN13	Ankyrin repeat-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=AKR2 PE=1 SV=1	22.116	61	4	3	0.151	-2.73	0.00285760903244344	0.000390176023705946	1077507.56208892	7147597.31238339	133.52	53.22	1077507.56208892	383758.308635696	7996104.36403492	4811421.42074894		10618098.6599253	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Not Found	High	High	Peak Found	Not Found	Peak Found	High	Peak Found	High	8
Q84WU8	ath:AT2G29080; O81076; Q0WWR8; Q84WU8; Q8VZR5	ATP-dependent zinc metalloprotease FTSH 3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=FTSH3 PE=1 SV=1	252.103	1248	28	19	2.465	1.3	0.00301532463602605	0.000412164498965861	210025141.397341	85208122.8466755	35.53	25.78	199032890.356474	210025141.397341	362540156.745141	63505806.6091599	85208122.8466755	107556216.678265	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A2H1ZE60	A0A2H1ZE60; ath:AT5G04270	S-acyltransferase OS=Arabidopsis thaliana OX=3702 GN=At5g04270 PE=1 SV=1	11.356	32	3	3	0.133	-2.91	0.00310555928337306	0.000424810453651503	843531.385689125	6346613.22074954	19.2	127.6	804593.567598108	1130116.57498709	843531.385689125	34643061.5207475	6346613.22074954	1279585.26375853	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	8
Q9LIB3	ath:AT3G29310; Q9LIB3	BAG family molecular chaperone regulator 8, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BAG1 PE=1 SV=1	121.297	703	16	16	2.597	1.38	0.00324612010696608	0.000445993209817086	107578695.941992	41426336.2716327	21.5	34.23	107578695.941992	137250490.214716	89775589.8725322	41426336.2716327	22954821.6781523	47437560.3223595	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FRS7	ath:AT1G08580; Q9FRS7	At1g08580 OS=Arabidopsis thaliana OX=3702 GN=At1g08580 PE=1 SV=1	19.492	75	3	3	6.999	2.81	0.00339154016503202	0.000466483612880264	6084029.89334716	869327.079973286	34.14	119.25	6084029.89334716	6204441.91211414	3110901.94802818	611917.898905575	869327.079973286	5634585.91224809	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	16
Q9SL02	ath:AT2G31970; Q9M6P9; Q9SL02	DNA repair protein RAD50 OS=Arabidopsis thaliana OX=3702 GN=RAD50 PE=1 SV=2	36.902	71	10	10	0.285	-1.81	0.00343464730498083	0.000473274777981647	5860785.29707778	20556485.5270801	37.1	38.67	3018540.45210363	6689481.44183136	5860785.29707778	20556485.5270801	27424819.0941654	11992711.0289309	High	High	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	11
