Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (rbohC C)	Abundance Ratio (log2): (rbohF C) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohF C) / (rbohC C)	Abundance Ratio P-Value: (rbohF C) / (rbohC C)	Abundances (Grouped): rbohC C	Abundances (Grouped): rbohF C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q9LD45	ath:AT5G47120; Q9LD45	Bax inhibitor 1 OS=Arabidopsis thaliana OX=3702 GN=BI-1 PE=1 SV=1	53.831	229	6	6	0.319	-1.65	6.59753824127301E-05	6.75593735999236E-06	43983344.9422334	14023537.6277722	22.06	21.68	43983344.9422334	45174359.5097724	29499742.4073831	14023537.6277722	13931493.398499	19976386.1935896	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4KDC7	F4KDC7	K+ efflux antiporter 5 OS=Arabidopsis thaliana OX=3702 GN=KEA5 PE=4 SV=1	6.633	45	2	2	16.084	4.01	6.60588263866113E-05	6.77110420332916E-06	208810.786664318	3358466.17605013	35.72	114.24	159354.626828599	319231.655484252	208810.786664318	1095161.98777855	10299202.4755643		High	High	Peak Found	Peak Found	High	Not Found	High	High	Not Found	High	High	High	High	Not Found	Peak Found	High	High	Not Found	11
O22757	ath:AT2G17480; O22757; Q94KB5; Q9SHM0	MLO-like protein 8 OS=Arabidopsis thaliana OX=3702 GN=MLO8 PE=1 SV=2	22.983	134	9	6	0.246	-2.02	7.01807297169227E-05	7.21119221691602E-06	22242459.1649972	5472807.45391956	15.96	22.94	18276478.0453142	25253311.0656859	22242459.1649972	7353967.05072471	4749942.88498342	5472807.45391956	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	15
O81644	ath:AT2G41740; O22946; O81644; Q0WV87; Q8RXZ3	Villin-2 OS=Arabidopsis thaliana OX=3702 GN=VLN2 PE=1 SV=2	184.637	788	35	29	0.368	-1.44	7.90841215910695E-05	8.15377866336675E-06	213727073.265161	78714375.4973859	11.14	18.21	213727073.265161	182525480.292848	227780977.288236	78714375.4973859	70095772.557001	99419463.6252422	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q43729	ath:AT5G17820; Q43729; Q84WN8	Peroxidase 57 OS=Arabidopsis thaliana OX=3702 GN=PER57 PE=1 SV=1	184.278	1048	16	16	2.068	1.05	8.35106355020755E-05	8.61853533651313E-06	212653413.875127	439697995.125553	32.92	5.53	335069505.253546	183870528.326984	212653413.875127	406635315.336339	439697995.125553	453233009.118479	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FLB4	ath:AT5G05400; Q9FLB4	Putative disease resistance protein At5g05400 OS=Arabidopsis thaliana OX=3702 GN=At5g05400 PE=3 SV=1	29.942	108	13	13	0.362	-1.47	9.33274347780558E-05	9.66907962940411E-06	67947379.3288846	24571431.3328777	27.25	72.85	67947379.3288846	83627952.1324651	47557078.9768743	6711363.75702238	42591928.0074959	24571431.3328777	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	15
B9DH36	B9DH36	GDP-L-fucose synthase OS=Arabidopsis thaliana OX=3702 GN=GER2 PE=1 SV=1	65.321	152	10	6	0.228	-2.13	0.000100693899313972	1.0467602986175E-05	20091469.8072611	4577176.12492213	12.76	41.26	20127748.5672925	20091469.8072611	15968870.9714193	4577176.12492213	3246278.23362649	7333530.55300015	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	16
Q9ZPH9	ath:AT4G00750; Q93YZ6; Q9ZPH9	Probable methyltransferase PMT15 OS=Arabidopsis thaliana OX=3702 GN=At4g00750 PE=2 SV=1	32.724	112	7	3	14.136	3.82	0.000104660966686134	1.08852441418339E-05	212956.616625348	3010328.33476773	29.11	124.35	212956.616625348	239362.557487171	130846.711836829	3010328.33476773	2289806.87407956	22851587.5831122	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Not Found	Peak Found	High	Peak Found	Not Found	Not Found	7
Q8LA21	ath:AT4G32750; Q8LA21	At4g32750 OS=Arabidopsis thaliana OX=3702 GN=At4g32750 PE=1 SV=1	27.369	157	7	7	0.327	-1.61	0.000119467415178076	1.24671023207235E-05	48307318.7551068	15789513.4123239	12.54	17.21	49553457.8931174	39072046.4815084	48307318.7551068	15943673.5123661	15789513.4123239	11567048.1458367	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	17
P92980	ath:AT4G21990; C0Z2S3; O48887; P92980; Q38948; Q8LAV2	5'-adenylylsulfate reductase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=APR3 PE=2 SV=2	32.08	98	9	3	4.599	2.2	0.000120434721917454	1.25740827905396E-05	3438295.83138295	15811137.9637356	65.75	21.75	3438295.83138295	3347234.61996223	9620249.65115285	11508379.0776643	15811137.9637356	17954722.875269	High	Peak Found	High	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	High	High	High	Not Found	Not Found	Not Found	High	High	High	9
C0LGT5	ath:AT5G16900; C0LGT5; Q9LFL1	Probable LRR receptor-like serine/threonine-protein kinase At5g16900 OS=Arabidopsis thaliana OX=3702 GN=At5g16900 PE=1 SV=1	16.125	169	7	4	13.323	3.74	0.000131973192730569	1.37919957317045E-05	93276.9929897917	1242725.73140774	113.68	20.22	93276.9929897917	80439.0260015634	584176.584694864	1242725.73140774	896880.797242039	1345040.98819956	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	High	High	Peak Found	High	Peak Found	High	High	13
Q9CAV7	ath:AT3G04930; F4J625; Q8VYQ3; Q9CAV7	Probable transcription factor At3g04930 OS=Arabidopsis thaliana OX=3702 GN=At3g04930 PE=1 SV=1	77.478	282	11	6	0.23	-2.12	0.000134229857101858	1.40345587646973E-05	19578152.4810185	4508425.1438161	78.61	50.32	19578152.4810185	33838416.4471474	3843856.57244034	7253417.17680501	2490988.48382945	4508425.1438161	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	9
Q94AT1	ath:AT5G53140; Q8VZD9; Q94AT1; Q9FGM3	Probable protein phosphatase 2C 76 OS=Arabidopsis thaliana OX=3702 GN=At5g53140 PE=2 SV=1	39.25	92	9	9	4.17	2.06	0.00014806206944608	1.55104869501432E-05	4700255.02805255	19601848.2824902	35.78	49.93	4700255.02805255	2821755.05176729	6043007.71748762	8098447.54851212	25515534.0300151	19601848.2824902	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	13
A0A1I9LP30	A0A1I9LP30; ath:AT3G18280	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g18280 PE=1 SV=1	12.016	69	4	4	3.223	1.69	0.000170272824844314	1.78542804658566E-05	10292890.2518485	33170129.1109657	39.34	10.86	10292890.2518485	16792285.7573793	7924935.15571022	38055645.9526907	30812784.8208782	33170129.1109657	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	Peak Found	Peak Found	13
Q9SEL5	ath:AT1G26670; Q9LQY5; Q9SEL5	Vesicle transport v-SNARE 12 OS=Arabidopsis thaliana OX=3702 GN=VTI12 PE=1 SV=3	66.003	383	10	10	0.338	-1.56	0.00017280043518991	1.8127979091398E-05	42831196.8770512	14492226.5272045	49.7	30.94	42831196.8770512	43733692.3556609	14340055.2717785	23390497.7979094	13844458.3736651	14492226.5272045	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SIH4	ath:AT2G36100; Q9SIH4	Casparian strip membrane protein 1 OS=Arabidopsis thaliana OX=3702 GN=CASP1 PE=1 SV=1	56.039	232	6	5	2.84	1.51	0.000179142748605447	1.88023114420233E-05	27595683.3681105	78358208.0944951	25.04	32.83	33317149.4635708	19878241.7014043	27595683.3681105	44256053.8609617	88243851.4647615	78358208.0944951	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LIA2	ath:AT3G29400; Q9LIA2	Exocyst subunit Exo70 family protein OS=Arabidopsis thaliana OX=3702 GN=EXO70E1 PE=1 SV=1	21.719	55	8	8	6.683	2.74	0.000190318488974532	1.9994363835929E-05	1528830.61214153	10217727.7748131	11.61	12.87	1365388.12284252	1528830.61214153	1722420.56563737	8108048.95740179	10217727.7748131	10245500.7199368	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	14
A0A1P8AT14	A0A1P8AT14	ATP-dependent DNA helicase 2 subunit KU80 OS=Arabidopsis thaliana OX=3702 GN=KU80 PE=1 SV=1	38.554	86	11	11	4.704	2.23	0.000193833303055681	2.04121983720107E-05	2534452.88365906	11923187.6769742	95.15	84.5	2534452.88365906	10706132.010435	2072524.35421323	1325322.17248336	19996197.2860251	11923187.6769742	High	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	8
P14713	ath:AT2G18790; P14713; Q6S4P0	Phytochrome B OS=Arabidopsis thaliana OX=3702 GN=PHYB PE=1 SV=1	55.451	129	14	9	4.07	2.03	0.000224664334226597	2.36927351617844E-05	4726475.19103006	19238029.5763051	32.52	25.26	3885522.07323459	7179674.15132802	4726475.19103006	12883053.9188104	19238029.5763051	21648252.8213809	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	11
Q9SJA6	ath:AT2G24590; Q9SJA6	Serine/arginine-rich splicing factor RSZ22A OS=Arabidopsis thaliana OX=3702 GN=RSZ22A PE=1 SV=1	46.341	266	5	2	4.614	2.21	0.000232560091218998	2.45370654110566E-05	3267280.02744103	15073612.0189312	82.52	24.38	2300957.85697576	3267280.02744103	10295594.038764	13493280.4777109	21146094.1647341	15073612.0189312	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LVT8	A8MQD7; A8MRX4; ath:AT5G47210; Q8LDQ7; Q9LVT8	RGG repeats nuclear RNA binding protein C OS=Arabidopsis thaliana OX=3702 GN=RGGC PE=1 SV=1	126.598	495	16	11	2.712	1.44	0.00024231638436395	2.56028739531455E-05	30889212.5569182	83781391.8179994	68.21	33.57	69986204.312589	18067596.9551371	30889212.5569182	93355923.5957576	46102305.2623668	83781391.8179994	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SD53	ath:AT3G47200; Q56YU5; Q9SD53	UPF0481 protein At3g47200 OS=Arabidopsis thaliana OX=3702 GN=At3g47200 PE=2 SV=1	145.903	952	24	22	2.062	1.04	0.000242605739878462	2.56456070073519E-05	159635320.635583	329185691.027285	16.58	8.82	188483350.684949	159635320.635583	135113268.08766	329185691.027285	359630588.666916	301418877.677924	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A8MR92	A8MR92	Iron-sulfur cluster biosynthesis family protein OS=Arabidopsis thaliana OX=3702 GN=At2g16710 PE=1 SV=1	25.391	60	6	6	8.075	3.01	0.000251478195840966	2.66339245056368E-05	765389.57480624	6180855.9234788	18.52	48.68	973066.227542238	683025.314078983	765389.57480624	4017284.90224636	10651169.5486123	6180855.9234788	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	8
Q93ZH0	ath:AT1G21880; Q5XF34; Q93ZH0; Q9SFE8	LysM domain-containing GPI-anchored protein 1 OS=Arabidopsis thaliana OX=3702 GN=LYM1 PE=1 SV=1	22.717	113	5	5	0.273	-1.87	0.000278369484752988	2.9495919541267E-05	22081039.3390616	6031865.83724743	25.23	34.15	14991897.4601895	22081039.3390616	25218490.1261375	3284048.52033725	6031865.83724743	6748974.05617251	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	16
Q8GX94	Q8GX94	Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=LRR-RLK PE=1 SV=1	22.483	104	8	7	4.394	2.14	0.000280290815861913	2.97556988619885E-05	3360558.62245857	14765323.6127652	39.91	26.73	3095035.69336125	6115136.90876865	3360558.62245857	14765323.6127652	22043940.4065276	13793113.6345745	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	14
Q9ZPG2	ath:AT4G07820; Q9ZPG2	At4g07820 OS=Arabidopsis thaliana OX=3702 GN=At4g07820 PE=1 SV=1	45.672	138	5	5	6.82	2.77	0.000297364423643079	3.15831393764565E-05	1333541.51151373	9094971.93863333	57.41	34.54	1333541.51151373	481848.756251588	1889456.44583013	4958105.63479191	9094971.93863333	10307528.4162039	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	16
Q8W206	ath:AT5G56280; Q84WB5; Q8W206; Q941I1; Q9FG76	COP9 signalosome complex subunit 6a OS=Arabidopsis thaliana OX=3702 GN=CSN6A PE=1 SV=2	19.818	41	7	3	4.418	2.14	0.000300408282906874	3.19214856279171E-05	3844417.32233175	16984743.8737029	53.12	58.45	7850492.86006626	2980482.70177659	3844417.32233175	16984743.8737029	33429781.5377071	10420853.8001059	High	Not Found	High	Peak Found	High	Peak Found	Not Found	High	High	High	Peak Found	Peak Found	Not Found	High	Peak Found	Peak Found	High	Peak Found	8
Q94K73	ath:AT3G58140; Q94K73; Q9M2K2	Phenylalanine--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g58140 PE=1 SV=1	8.743	29	4	4	0.177	-2.5	0.000352272643692589	3.75562083672065E-05	9132869.90387653	1613531.43187726	33.5	63.08	9132869.90387653	10024227.7144682	4975304.7813235	1613531.43187726	3566785.84591465	1068094.47269067	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	8
A8MRY1	A8MRY1; ath:AT1G47570	RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g47570 PE=1 SV=1	7.013	32	3	3	0.158	-2.66	0.000369544676532675	3.94716909273285E-05	6196934.22236782	977624.852470439	55.78	94.97	10382012.5663264	6196934.22236782	3092843.54037737	433363.969203311	2205421.81650423		High	High	High	Peak Found	Peak Found	Peak Found	High	High	Not Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	6
A0A1I9LMD3	A0A1I9LMD3	Dicer-like 3 OS=Arabidopsis thaliana OX=3702 GN=DCL3 PE=1 SV=1	7.103	10	5	5	0.17	-2.56	0.000434149018923504	4.66333190092261E-05	5466090.22067937	927963.15295395	9.48	37.71	5466090.22067937	5062265.67616765	6104950.96924379	927963.15295395	604672.06823408	1321012.18528218	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	Peak Found	6
Q9ZUG4	ath:AT2G05830; Q8L5B9; Q8LAU5; Q9ZUG4	Methylthioribose-1-phosphate isomerase OS=Arabidopsis thaliana OX=3702 GN=At2g05830 PE=1 SV=2	94.516	378	15	15	3.2	1.68	0.000436359960636718	4.68926748335985E-05	9294167.9197742	29739020.1531516	29.77	17.42	8855033.79290452	9294167.9197742	14710574.6683145	29502337.6905185	29739020.1531516	39554434.7123538	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q6NLP2	ath:AT1G34360; Q6NLP2; Q9C8N4	Translation initiation factor IF3-1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=IF3-1 PE=2 SV=1	13.444	58	6	6	6.073	2.6	0.000437609891373927	4.70708649635831E-05	1672372.35724365	10156102.7863726	36.32	11.61	895194.410882444	1950776.81558336	1672372.35724365	10388102.5569747	10156102.7863726	8346660.74970522	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	High	High	High	High	High	High	13
Q9SAE3	ath:AT1G13090; Q9SAE3	Cytochrome P450 71B28 OS=Arabidopsis thaliana OX=3702 GN=CYP71B28 PE=2 SV=1	128.062	686	25	15	2.814	1.49	0.000486193915010837	5.24185810830691E-05	19067235.5147317	53652067.1404963	12.41	5.35	19067235.5147317	23328029.3134201	18824684.2365611	55270815.5298374	49765177.5084132	53652067.1404963	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q56YT0	ath:AT2G30210; O22917; Q56YT0	Laccase-3 OS=Arabidopsis thaliana OX=3702 GN=LAC3 PE=2 SV=2	183.628	828	20	19	2.062	1.04	0.000503022003520829	5.42580999236542E-05	148137299.839212	305427040.829085	12.19	11.56	148137299.839212	151521128.206697	120418272.019817	305427040.829085	362285812.44946	292777072.881828	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P43273	ath:AT5G06950; P43273	Transcription factor TGA2 OS=Arabidopsis thaliana OX=3702 GN=TGA2 PE=1 SV=1	57.165	159	14	3	0.343	-1.54	0.000517332734247523	5.58276465758567E-05	28027856.8874622	9606354.5110479	48.87	26.69	28027856.8874622	49542914.0003707	18931997.9162506	6900318.63659622	9606354.5110479	11961076.6398162	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	8
Q9C950	ath:AT1G61040; Q8RWR3; Q9C950	Protein RTF1 homolog OS=Arabidopsis thaliana OX=3702 GN=VIP5 PE=1 SV=1	20.478	49	5	5	0.23	-2.12	0.000551629396067537	5.95563991343528E-05	12062331.6432124	2771488.71193703	72.07	40.25	12062331.6432124	1889910.73345357	15485825.5619529	2771488.71193703	1217835.33470843	2832857.46034608	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	High	High	High	10
Q9FHD1	ath:AT5G52280; Q9FHD1	At5g52280 OS=Arabidopsis thaliana OX=3702 GN=At5g52280 PE=1 SV=1	32.021	37	15	13	0.257	-1.96	0.000560265901129082	6.0516917294029E-05	12515645.2553831	3213908.52730968	18.12	66.45	9687771.09759142	13990656.904459	12515645.2553831	8335341.14188106	2626792.7879102	3213908.52730968	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	6
Q1ECK2	ath:AT5G64650; Q1ECK2	At5g64650 OS=Arabidopsis thaliana OX=3702 GN=MUB3.17 PE=1 SV=1	41.966	174	8	3	7.177	2.84	0.000563021617057316	6.08427951669377E-05	1018852.54622609	7312425.58535282	68.85	48.93	621171.016153184	1018852.54622609	2380596.43328345	14059589.4686981	7312425.58535282	5736231.07468467	High	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	11
P02663	bta:282209; P02663; Q1RMQ6; Q9TR51	Alpha-S2-casein (Laboratory-Cont) OS=Bos taurus GN=CSN1S2 PE=1 SV=2	20.731	97	5	5	2.873	1.52	0.000597453343712245	6.46534895030193E-05	12372974.7329055	35547581.711042	29.71	59.21	7846643.4483769	12372974.7329055	14619160.6271907	9328601.70636189	35547581.711042	41097523.0714179	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	13
Q9ZVJ6	ath:AT2G38750; Q9ZVJ6	Annexin D4 OS=Arabidopsis thaliana OX=3702 GN=ANN4 PE=1 SV=1	174.385	823	19	19	0.442	-1.18	0.000638029675532712	6.93322809159902E-05	294675720.112214	130126596.348309	22.56	20.09	195694186.096864	302824478.486995	294675720.112214	130126596.348309	167982567.7282	114225294.2474	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q944J0	ath:AT2G22425; Q7G9Y5; Q944J0	Probable signal peptidase complex subunit 1 OS=Arabidopsis thaliana OX=3702 GN=At2g22425 PE=3 SV=1	18.568	85	3	2	4.021	2.01	0.000652306453342888	7.09490754224884E-05	3119204.69376273	12540778.3624164	18.74	26.82	3119204.69376273	3861219.29500973	2667716.97041056	7637530.59928357	12974866.3532569	12540778.3624164	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	Peak Found	14
Q9FGC5	ath:AT5G35940; Q9FGC5	Jacalin-related lectin 41 OS=Arabidopsis thaliana OX=3702 GN=JAL41 PE=1 SV=1	146.556	539	25	25	0.391	-1.35	0.000706980137186848	7.78879425360479E-05	67732315.6108902	26509554.6124205	40.57	10.9	30562174.5579495	67732315.6108902	73159965.3397177	22902454.7269651	26509554.6124205	28486093.5374874	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	17
Q9SW43	ath:AT4G34920; Q9SW43	AT4g34920/F11I11_160 OS=Arabidopsis thaliana OX=3702 GN=T11I11.160 PE=1 SV=1	8.069	29	2	2	12.878	3.69	0.000724515628503519	7.99287704043028E-05	153312.105753526	1974405.15344931	64.63	75.5	251140.365535755		93591.4930299562	214274.404444685	2367561.22155913	1974405.15344931	High	Not Found	High	Peak Found	Not Found	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Not Found	High	High	Peak Found	9
Q680P8	ath:AT3G43980; ath:AT3G44010; ath:AT4G33865; Q680P8; Q9LDT9	40S ribosomal protein S29 OS=Arabidopsis thaliana OX=3702 GN=RPS29A PE=3 SV=2	9.269	86	5	5	2.996	1.58	0.000743412118382709	8.24825011851438E-05	10326299.7231962	30942722.2024321	53.84	20.98	10326299.7231962	13525373.9064813	3791325.42858116	21379978.1750367	30942722.2024321	32175247.8101477	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8GUI9	Q8GUI9	Non-lysosomal glucosylceramidase OS=Arabidopsis thaliana OX=3702 GN=At5g49900 PE=1 SV=1	177.912	939	30	26	0.422	-1.24	0.000756293614134665	8.3965232585248E-05	102623194.435879	43350596.4436364	11.58	12.05	119848968.848297	102623194.435879	96040906.310037	49416064.8533239	43350596.4436364	38884380.9349436	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P92949	ath:AT1G01580; P92949; Q9LMM3	Ferric reduction oxidase 2 OS=Arabidopsis thaliana OX=3702 GN=FRO2 PE=1 SV=2	163.738	670	18	16	2.333	1.22	0.000769078918243338	8.55003278363853E-05	76235206.9240009	177878673.982219	62.61	49.67	48312285.6073323	76235206.9240009	163582000.966739	106071309.573827	296312935.400793	177878673.982219	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8VYK6	ath:AT5G58420; Q8VYK6; Q944M1; Q9FGI0	40S ribosomal protein S4-3 OS=Arabidopsis thaliana OX=3702 GN=RPS4D PE=2 SV=2	253.614	2602	24	2	2.924	1.55	0.00083092387597309	9.24174267347144E-05	11371274.1839927	33252533.1201072	68.18	29.53	15167435.0133413	11371274.1839927	2374035.97787076	33252533.1201072	33497833.2350261	18791297.0989943	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	15
F4IUJ7	ath:AT2G26410; F4IUJ7	Protein IQ-DOMAIN 4 OS=Arabidopsis thaliana OX=3702 GN=IQD4 PE=1 SV=1	17.2	36	4	4	9.599	3.26	0.000872298136702486	9.70628972722931E-05	366145.820018251	3514644.49262373		21.21	366145.820018251			4657052.26131459	3514644.49262373	3120126.34236572	Peak Found	Not Found	Not Found	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	9
Q96266	ath:AT2G47730; O82242; Q4PL91; Q96266; Q9FUT2	Glutathione S-transferase F8, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GSTF8 PE=1 SV=3	196.418	1254	11	10	1.932	0.95	0.000950258692812505	0.000105975920580814	168873638.145195	326275887.972132	17.17	5.5	168873638.145195	139705726.199324	197650915.917847	297286881.029662	328682903.154679	326275887.972132	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LEZ4	ath:AT1G19520; Q8LEZ4; Q9LN43	Protein NUCLEAR FUSION DEFECTIVE 5, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=NFD5 PE=2 SV=1	143.414	874	17	17	2.288	1.19	0.0009674404762689	0.000107989070254666	82452286.3798239	188648832.19484	6.42	9.19	82266676.0498454	91874686.7256394	82452286.3798239	175937002.951438	210775056.249965	188648832.19484	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LHL6	A0MEV4; ath:AT3G12060; Q9LHL6	Protein trichome birefringence-like 1 OS=Arabidopsis thaliana OX=3702 GN=TBL1 PE=2 SV=1	16.286	132	6	2	0.175	-2.52	0.0009674404762689	0.000107953808818673	5772012.50490869	1008822.01641511	6.7	87.36	5772012.50490869	6337340.93175226	5577161.1229693	1008822.01641511	924524.477482379	3916050.33813841	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	11
Q96511	ath:AT5G64100; Q8RWL8; Q96511	Peroxidase 69 OS=Arabidopsis thaliana OX=3702 GN=PER69 PE=1 SV=1	159.1	1543	17	16	1.865	0.9	0.000967514894715933	0.000108045871656914	1139535568.42023	2125731644.10656	17.97	36.74	1391169127.06264	1139535568.42023	974243765.589616	2438869394.57682	2125731644.10656	1109507179.03457	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LG05	ath:AT4G00238; Q8LG05	Transcription factor STKL1 OS=Arabidopsis thaliana OX=3702 GN=STKL1 PE=1 SV=1	26.253	44	6	5	0.173	-2.54	0.000983768165754671	0.000109910242166666	6977234.68200066	1203816.09139888	30.43	82.4	6977234.68200066	7413095.05587581	3988491.70005045	1203816.09139888	4061813.65373174	984765.596231965	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	Peak Found	8
