Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (WT C)	Abundance Ratio (log2): (rbohF C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohF C) / (WT C)	Abundance Ratio P-Value: (rbohF C) / (WT C)	Abundances (Grouped): rbohF C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
O23254	ath:AT4G13930; O23254; Q8LBY1; Q9FPJ3	Serine hydroxymethyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=SHM4 PE=1 SV=1	420.622	1808	33	32	0.359	-1.48	0.000504871397925978	6.21496690846879E-05	212092461.413321	590188720.335081	20.89	35.91	212092461.413321	204051653.340023	293365409.279235	561508300.938376	590188720.335081	1026904329.25858	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9XHZ8	ath:AT1G21780; Q0WS66; Q9XHZ8	BTB/POZ domain-containing protein At1g21780 OS=Arabidopsis thaliana OX=3702 GN=At1g21780 PE=1 SV=1	62.976	265	15	15	3.418	1.77	0.000513230259141429	6.3204306413267E-05	55549526.0123367	16252786.28997	23.68	101.26	55549526.0123367	53439574.3079285	80310442.3372599	16252786.28997	13148946.4854349	76639244.5303065	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L8V4	A0A178VGV0; ath:AT3G07640; Q8L8V4	At3g07640 OS=Arabidopsis thaliana OX=3702 GN=At3g07640 PE=1 SV=1	18.291	45	6	6	7.866	2.98	0.000531276119479236	6.54532179198419E-05	9209492.99920364	1170783.32858521	11.17	68.04	10480966.056995	9209492.99920364	8405739.63467338	1170783.32858521	3321423.55970568	1089405.61570982	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	12
Q9FLB4	ath:AT5G05400; Q9FLB4	Putative disease resistance protein At5g05400 OS=Arabidopsis thaliana OX=3702 GN=At5g05400 PE=3 SV=1	29.942	108	13	13	0.338	-1.56	0.000577044413413004	7.11495761738234E-05	24571431.3328777	72684328.7429864	72.85	15.73	6711363.75702238	42591928.0074959	24571431.3328777	72684328.7429864	58106990.2853037	79758982.9971521	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	15
Q9FGC5	ath:AT5G35940; Q9FGC5	Jacalin-related lectin 41 OS=Arabidopsis thaliana OX=3702 GN=JAL41 PE=1 SV=1	146.556	539	25	25	0.342	-1.55	0.000619184154296068	7.6531161470994E-05	26509554.6124205	77526336.966259	10.9	3.14	22902454.7269651	26509554.6124205	28486093.5374874	76979737.4906989	81498539.321039	77526336.966259	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	17
Q9LM76	ath:AT1G20780; Q93YT4; Q9LM76	U-box domain-containing protein 44 OS=Arabidopsis thaliana OX=3702 GN=PUB44 PE=1 SV=1	148.759	653	26	22	0.371	-1.43	0.000651591008621411	8.06995464177618E-05	40932151.4642477	110457288.758443	18.92	23	33747256.9958238	40932151.4642477	49373775.6035704	78836192.2992929	126387418.767716	110457288.758443	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q7XA68	Q7XA68	At1g01640 OS=Arabidopsis thaliana OX=3702 GN=At3g01790 PE=1 SV=1	37.888	181	10	10	0.323	-1.63	0.000686671609541021	8.51472795830865E-05	19991535.9759509	61966839.7970944	21.82	25.95	25994328.8191284	19991535.9759509	17000044.6722734	61966839.7970944	69926464.9211317	40981033.6213433	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SII6	ath:AT2G17220; F4IMG9; Q6QJ33; Q6QJ34; Q8LEZ7; Q93W33; Q9SII6	Probable serine/threonine-protein kinase PIX13 OS=Arabidopsis thaliana OX=3702 GN=PIX13 PE=1 SV=2	30.454	194	6	4	0.074	-3.76	0.000712307337452678	8.85041866784952E-05	239617.621318306	3236066.71548688	69.99	8.92	412222.900333409	139285.334220404		3236066.71548688	2936307.286451	3512257.91515691	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Not Found	High	High	High	Peak Found	Peak Found	High	High	High	High	11
Q9FHI7	ath:AT5G45490; Q9FHI7	Probable disease resistance protein At5g45490 OS=Arabidopsis thaliana OX=3702 GN=At5g45490 PE=2 SV=1	114.448	513	14	14	2.529	1.34	0.00072133263455308	8.96616464749478E-05	147670706.624526	58396875.4203548	5.54	8.21	134020289.724394	147871106.903341	147670706.624526	63838734.4888622	58396875.4203548	54205842.1838904	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9XGX9	ath:AT3G46560; Q8L927; Q9SNC2; Q9XGX9	Mitochondrial import inner membrane translocase subunit TIM9 OS=Arabidopsis thaliana OX=3702 GN=TIM9 PE=1 SV=2	18.458	54	3	3	0.119	-3.07	0.000732466253258229	9.10821785926608E-05	422805.254640434	3549785.43323054	71.38	16.07	1186342.38428567	344970.820732768	422805.254640434	3549785.43323054	4333734.17923389	3172887.41885362	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	10
Q9LSM3	ath:AT5G65520; Q9LSM3	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g65520 PE=1 SV=1	38.452	106	6	6	4.731	2.24	0.000767112248444832	9.54671193189593E-05	13673542.5676108	2890221.98230799	12.8	49.2	12698317.1606802	16217037.8097521	13673542.5676108	2890221.98230799	2830799.73260891	6264625.96144202	High	High	High	High	High	Peak Found	High	High	High	Peak Found	Peak Found	High	High	High	High	High	High	High	15
Q0WW84	ath:AT3G19130; Q0WW84; Q8LFI9; Q9LJL7	Polyadenylate-binding protein RBP47B OS=Arabidopsis thaliana OX=3702 GN=RBP47B PE=1 SV=1	25.618	40	6	4	0.219	-2.19	0.000820122822413128	0.000102269315954917	2413665.61281023	11015372.41988	29.23	57	1386782.35622799	2413665.61281023	2475576.25155238	11015372.41988	4499425.0294653	16754544.5438169	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	Peak Found	9
B3H7F6	B3H7F6	Time for coffee OS=Arabidopsis thaliana OX=3702 GN=TIC PE=1 SV=1	22.5	41	9	9	7.897	2.98	0.000881911153470202	0.000110327085299122	6129647.71213145	776227.888695175	55.15	96.91	5797633.00014404	14314392.2366275	6129647.71213145	287997.75029561	2455650.84128681	776227.888695175	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	High	High	Peak Found	High	High	High	15
Q7Y030	ath:AT4G24530; Q7Y030; Q9SB49	O-fucosyltransferase 31 OS=Arabidopsis thaliana OX=3702 GN=OFUT31 PE=2 SV=1	33.936	47	9	7	0.208	-2.26	0.000887444350219823	0.000111063660430011	2224512.84733456	10691088.6532338	63.27	39.96	1153550.9815397	4358929.05604607	2224512.84733456	10691088.6532338	9620413.98494961	19229956.1638886	Peak Found	High	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	9
Q9CAT7	ath:AT1G73230; B9DI58; Q8LFH4; Q9CAT7	Nascent polypeptide-associated complex subunit beta OS=Arabidopsis thaliana OX=3702 GN=At1g73230 PE=2 SV=1	81.572	335	9	7	0.345	-1.53	0.000901396067585093	0.000112854787661654	11696364.3386376	33885392.7464492	57.79	22.19	11696364.3386376	9041452.87029178	25685336.0257988	33885392.7464492	30884812.914424	46390359.5177243	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9M8S7	A2RVV3; ath:AT3G02860; Q9M8S7	Protein ABA AND ROS SENSITIVE 1 OS=Arabidopsis thaliana OX=3702 GN=ARS1 PE=1 SV=1	10.287	36	2	2	0.102	-3.3	0.000925339516712738	0.00011589877446827	137619.465837068	1350809.19480835	41.4	15.63	137619.465837068	86894.4869075397	205064.441358311	1702566.61781014	1350809.19480835	1281147.70613669	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	Peak Found	10
Q9M1J6	ath:AT3G57020; B9DGX6; Q9M1J6	Protein STRICTOSIDINE SYNTHASE-LIKE 9 OS=Arabidopsis thaliana OX=3702 GN=SSL9 PE=2 SV=1	167.563	550	19	19	3.462	1.79	0.00100647544971512	0.00012641331648422	61276111.4549184	17701438.6935722	67.92	25.17	61276111.4549184	98090585.2172389	17910645.8551976	13215703.3297296	22112521.5831341	17701438.6935722	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FMP0	ath:AT5G12230; Q6NMK7; Q9FMP0	Mediator of RNA polymerase II transcription subunit 19a OS=Arabidopsis thaliana OX=3702 GN=MED19A PE=1 SV=1	15.356	32	6	6	7.735	2.95	0.00106282723366313	0.000133597383271455	6184981.20755391	799592.405697424	12.97	33.95	4953822.55757304	6326724.95589862	6184981.20755391	799592.405697424	961047.756687095	466769.062026244	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	7
F4INU4	F4INU4	Phototropic-responsive NPH3 family protein OS=Arabidopsis thaliana OX=3702 GN=RPT2 PE=1 SV=1	43.253	95	9	8	0.29	-1.78	0.00113268497959173	0.000142605038930599	7128823.27787468	24550265.9374253	14.59	10.84	7128823.27787468	6617471.20980003	8712519.0675686	21771778.2386792	24550265.9374253	27071495.2209778	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	10
Q9SL02	ath:AT2G31970; Q9M6P9; Q9SL02	DNA repair protein RAD50 OS=Arabidopsis thaliana OX=3702 GN=RAD50 PE=1 SV=2	36.902	71	10	10	0.28	-1.84	0.00118349934565902	0.000149120917553036	5753113.83734888	20556485.5270801	15.91	38.67	4406739.05640461	5997794.70895545	5753113.83734888	20556485.5270801	27424819.0941654	11992711.0289309	High	High	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	11
F4I2Z8	ath:AT1G22750; F4I2Z8	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At1g22750 PE=1 SV=1	16.393	39	6	6	0.154	-2.7	0.00121289797150644	0.000153128368902689	624105.562729262	4048193.49857187	45.7	33.36	810062.971742228	624105.562729262	291260.295845124	6174125.47282998	4048193.49857187	3275369.23107889	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	9
O49629	ath:AT4G22240; O49629; Q8LFZ5; Q8VXU7	Probable plastid-lipid-associated protein 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP2 PE=1 SV=1	41.925	108	10	9	3.663	1.87	0.00128102885527143	0.000161857995863546	22668182.8936058	6187666.84467092	7.95	56.3	24912814.46393	21299228.2766545	22668182.8936058	6187666.84467092	3949615.56496346	11997449.7547241	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	Peak Found	High	16
O82629	ath:AT4G23710; O82629; Q9SUQ6	V-type proton ATPase subunit G2 OS=Arabidopsis thaliana OX=3702 GN=VHA-G2 PE=1 SV=2	40.027	242	6	6	3.723	1.9	0.0012982368565405	0.000164097138666719	24920929.1498018	6693030.0352784	33.73	26.73	24920929.1498018	16755274.3404217	33699411.9146053	6693030.0352784	6059406.25143322	9816262.76636345	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9M9V4	ath:AT1G18850; Q9M9V4	F6A14.6 protein OS=Arabidopsis thaliana OX=3702 GN=At1g18850 PE=1 SV=1	136.961	509	19	19	2.392	1.26	0.00130279086666997	0.000164737905090417	162327822.925759	67872443.678166	17.46	3.21	141521867.290986	199339670.014008	162327822.925759	67872443.678166	66818839.5598811	71049562.2084668	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O81126	ath:AT4G31580; O23646; O81126	Serine/arginine-rich splicing factor RSZ22 OS=Arabidopsis thaliana OX=3702 GN=RSZ22 PE=1 SV=1	36.754	228	5	2	3.186	1.67	0.00138870911381581	0.000175741138353391	31952716.7321022	10030339.2576625	48.87	34.65	20117717.9952059	54215327.3365111	31952716.7321022	10030339.2576625	9096325.35435441	16680632.7799782	High	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	16
O22151	ath:AT2G45200; F4IW37; O22151; Q2HIF8	Golgi SNAP receptor complex member 1-2 OS=Arabidopsis thaliana OX=3702 GN=GOS12 PE=1 SV=2	60.736	282	9	9	0.371	-1.43	0.00170542004555738	0.000216929429794899	13306761.1294247	35882087.9318072	26.85	21.48	13306761.1294247	11427828.5499903	18939373.3291005	35882087.9318072	29311846.6256792	45024539.6001244	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q39211	ath:AT2G15430; Q39211	DNA-directed RNA polymerases II, IV and V subunit 3 OS=Arabidopsis thaliana OX=3702 GN=NRPB3 PE=1 SV=1	81.723	360	11	11	0.358	-1.48	0.0017300570393889	0.000220582272522085	10040270.798663	28014518.5738665	63.24	5.93	10040270.798663	8063575.84960869	24520817.8891739	28014518.5738665	29222188.7374424	25966166.99636	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O23180	ath:AT4G37060; O23180	Patatin-like protein 5 OS=Arabidopsis thaliana OX=3702 GN=PLP5 PE=1 SV=2	138.308	671	16	14	3.324	1.73	0.00174389731098437	0.000222434102016056	60695117.1649295	18257019.1189172	28.54	19.67	47237854.377519	60695117.1649295	83236683.8245434	18257019.1189172	12720713.0455965	18392624.9989787	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8RWH9	ath:AT4G37130; O23173; Q8RWH9	Nuclear pore complex protein NUP58 OS=Arabidopsis thaliana OX=3702 GN=NUP58 PE=1 SV=1	46.011	117	8	8	6.258	2.65	0.00174506784323961	0.000222670656797375	9564590.57594547	1528330.76489877	87.67	84.53	4304058.79287419	9564590.57594547	27231780.5869761	878598.057418824	1528330.76489877	4553455.39192196	Peak Found	High	High	High	Peak Found	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	13
Q9SW43	ath:AT4G34920; Q9SW43	AT4g34920/F11I11_160 OS=Arabidopsis thaliana OX=3702 GN=T11I11.160 PE=1 SV=1	8.069	29	2	2	12.326	3.62	0.00178922955732428	0.000228395152992444	1974405.15344931	160179.06234786	75.5	31.22	214274.404444685	2367561.22155913	1974405.15344931	200482.866203075	127977.679592083		High	Not Found	High	Peak Found	Not Found	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Not Found	High	High	Peak Found	9
Q67YS6	ath:AT5G46150; Q0WQT3; Q67YS6; Q67YX0; Q8LDM0; Q9FNK7	Putative ALA-interacting subunit 2 OS=Arabidopsis thaliana OX=3702 GN=ALIS2 PE=2 SV=1	9.077	20	5	5	0.122	-3.04	0.00183704709530856	0.000234958323489964	155682.206230121	1277523.80993996	29.65	22.88	107773.251962025	199178.830782765	155682.206230121	1773761.35488709	1277523.80993996	1170356.58201601	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	High	Peak Found	High	Peak Found	Peak Found	9
Q94BZ1	ath:AT5G13750; C0Z283; Q2V381; Q56WZ9; Q8LC71; Q94BZ1; Q9FKI7	Protein ZINC INDUCED FACILITATOR-LIKE 1 OS=Arabidopsis thaliana OX=3702 GN=ZIFL1 PE=2 SV=1	41.354	81	7	6	6.752	2.76	0.00194510767516848	0.000249362803956599	5509300.92976576	815908.458079987	49.56	116.23	6281559.25549127	2004730.8487419	5509300.92976576	815908.458079987	432464.682072275	4399629.14720764	Peak Found	High	Not Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	9
Q9SLM4	ath:AT2G40980; Q9SLM4	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g40980 PE=1 SV=2	42.194	141	10	10	2.612	1.39	0.00195236218278376	0.000250390449942017	103966093.75616	39801640.7669506	15.76	25.29	87744458.8907057	120551489.074904	103966093.75616	43672256.770731	26095997.8014485	39801640.7669506	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9M386	A0A178VCH1; ath:AT3G54200; Q9M386	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family OS=Arabidopsis thaliana OX=3702 GN=F24B22.160 PE=1 SV=1	53.773	248	8	8	2.892	1.53	0.00196449749256698	0.000252045028296344	41538711.5128614	14361326.44302	13.1	5.01	35183885.9600373	45822359.7953093	41538711.5128614	13240045.3106894	14536697.7425916	14361326.44302	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O22854	ath:AT2G43400; O22854	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ETFQO PE=2 SV=1	67.951	353	15	15	0.366	-1.45	0.00200417205078738	0.000257636317128718	25659102.5661474	70168592.9425482	4.41	7.93	23834529.5014343	25659102.5661474	25836380.1501611	74478085.3791037	70168592.9425482	63555659.1864806	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AX84	A0A1P8AX84	DNA-(apurinic or apyrimidinic site) endonuclease OS=Arabidopsis thaliana OX=3702 GN=ARP PE=1 SV=1	23.615	61	8	8	0.184	-2.44	0.00200465757790073	0.000257999430275824	850548.96030736	4625316.4113465	148.26	10.34	850548.96030736	685799.822249277	14458109.7727564	5052564.12083613	4104491.97776929	4625316.4113465	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	7
Q9FZ27	ath:AT1G02335; Q67YR3; Q9FZ27	Germin-like protein subfamily 2 member 2 OS=Arabidopsis thaliana OX=3702 GN=At1g02335 PE=2 SV=1	42.228	233	5	2	5.792	2.53	0.00210730912563829	0.000271632146294776	10274479.3349065	1773881.31226536	31.69	29.45	7130915.02215698	13701049.3510887	10274479.3349065	1157373.21349618	1773881.31226536	2143337.11263439	High	Peak Found	High	High	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	14
O22141	ath:AT2G45310; O22141	UDP-glucuronate 4-epimerase 4 OS=Arabidopsis thaliana OX=3702 GN=GAE4 PE=1 SV=1	44.664	222	6	2	0.178	-2.49	0.00214910404743403	0.000277126966916619	1094391.99905712	6131283.01674804	57.16	12.68		1680087.11943	712876.037051327	6131283.01674804	6237547.38747764	4922202.7487566	Not Found	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	8
Q0WTF4	ath:AT4G37400; Q0WTF4; Q6NQ75; Q8LA85; Q9SZU0	Cytochrome P450 81F3 OS=Arabidopsis thaliana OX=3702 GN=CYP81F3 PE=2 SV=1	21.433	59	5	5	3.891	1.96	0.00219317672523652	0.000284016385918129	16661957.2798796	4281797.78538971	19.34	63.77	19265507.0817543	12988577.0164623	16661957.2798796	4281797.78538971	4067487.29260615	11469150.6953012	High	High	High	Peak Found	Peak Found	Not Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	10
Q9M314	ath:AT3G61540; Q9M314	AT3g61540/F2A19_140 OS=Arabidopsis thaliana OX=3702 GN=F2A19.140 PE=1 SV=1	29.666	90	8	8	0.363	-1.46	0.00234713043083157	0.000304305460357313	10524940.432265	28972199.1830903	15.07	12.24	10529279.2972383	7999752.07461297	10524940.432265	23366603.5454765	28972199.1830903	29284714.4701937	High	High	High	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	14
O22911	O22911	At2g47370 OS=Arabidopsis thaliana OX=3702 GN=At2g47370 PE=1 SV=1	36.809	227	5	2	0.107	-3.22	0.00243303130524894	0.0003161724181171	307300.272650768	2872061.82785692	14.77	28.95	307300.272650768	389354.997775384	301432.533623437	2872061.82785692	2799994.85957266	4541891.09764931	High	Peak Found	Peak Found	Peak Found	High	Not Found	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	12
Q9M8Z9	A0A178VG40; ath:AT3G07000; Q9M8Z9	At3g07000 OS=Arabidopsis thaliana OX=3702 GN=F17A9.15 PE=2 SV=1	24.248	97	9	4	3.054	1.61	0.00250379903324455	0.000325493874321792	56193664.509987	18400345.3176956	26.87	20.14	56193664.509987	63124081.3378881	36281795.1638646	12869200.6447766	18400345.3176956	18978807.2830316	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	15
P54967	ath:AT2G43360; P54967	Biotin synthase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=BIO2 PE=1 SV=1	56.594	138	10	10	3.855	1.95	0.00251107924691572	0.000326565856061389	15079786.0075808	3911641.17798807	8.45	62.3	14632256.2792821	15079786.0075808	17107001.0140606	3542879.0303329	9996221.53973339	3911641.17798807	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	High	Peak Found	High	High	13
F4KDC7	F4KDC7	K+ efflux antiporter 5 OS=Arabidopsis thaliana OX=3702 GN=KEA5 PE=4 SV=1	6.633	45	2	2	13.151	3.72	0.00252034753604234	0.00032802323181591	3358466.17605013	255373.303195886	114.24	2.76	1095161.98777855	10299202.4755643		250435.61597171		260408.343805799	High	High	Peak Found	Peak Found	High	Not Found	High	High	Not Found	High	High	High	High	Not Found	Peak Found	High	High	Not Found	11
Q9STT2	ath:AT3G47810; Q3EAN1; Q9STT2	Vacuolar protein sorting-associated protein 29 OS=Arabidopsis thaliana OX=3702 GN=VPS29 PE=2 SV=1	117.475	503	11	11	0.439	-1.19	0.00294560397623821	0.000386315961483641	51339377.3836838	116941105.144563	7.9	26.28	48843916.7538373	51339377.3836838	56926050.2428033	116941105.144563	77289519.4749328	132982157.880091	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q94AT1	ath:AT5G53140; Q8VZD9; Q94AT1; Q9FGM3	Probable protein phosphatase 2C 76 OS=Arabidopsis thaliana OX=3702 GN=At5g53140 PE=2 SV=1	39.25	92	9	9	3.793	1.92	0.00295074664088855	0.000387137959284578	19601848.2824902	5167662.9298647	49.93	39.48	8098447.54851212	25515534.0300151	19601848.2824902	5167662.9298647	6906327.99503832	2959005.45717005	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	13
Q9LIB3	ath:AT3G29310; Q9LIB3	BAG family molecular chaperone regulator 8, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BAG1 PE=1 SV=1	121.297	703	16	16	2.511	1.33	0.00319230649843709	0.000419788304544477	104004883.283795	41426336.2716327	21.55	34.23	96790915.6448962	142675214.538062	104004883.283795	41426336.2716327	22954821.6781523	47437560.3223595	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4JNM2	F4JNM2	Regulator of Vps4 activity in the MVB pathway protein OS=Arabidopsis thaliana OX=3702 GN=At4g29440 PE=1 SV=1	11.958	12	4	4	0.294	-1.77	0.00341567244601126	0.000449502493895082	5882196.70678489	20032330.7128349	9.45	70.22	5098019.36309399	6130273.43100043	5882196.70678489	20032330.7128349	5402383.29625818	32492715.6753534	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	Peak Found	Peak Found	Peak Found	6
A8MQR2	A8MQR2; ath:AT3G26440	AT3G26440 protein OS=Arabidopsis thaliana OX=3702 GN=At3g26440 PE=1 SV=1	56.676	346	10	8	2.919	1.55	0.0034194930718839	0.000450689186874298	60540391.9809024	20741404.5416166	9.96	95.82	55769780.9046159	67914505.6926376	60540391.9809024	18491099.0340285	20741404.5416166	92424356.7750823	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LG05	ath:AT4G00238; Q8LG05	Transcription factor STKL1 OS=Arabidopsis thaliana OX=3702 GN=STKL1 PE=1 SV=1	26.253	44	6	5	0.191	-2.39	0.00354526640449148	0.000467975165392875	1203816.09139888	6296752.06359056	82.4	11.36	1203816.09139888	4061813.65373174	984765.596231965	5415925.6209726	6296752.06359056	6801538.1040549	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	Peak Found	8
Q9M0X9	ath:AT4G05160; Q9M0X9	4-coumarate--CoA ligase-like 7 OS=Arabidopsis thaliana OX=3702 GN=4CLL7 PE=1 SV=1	71.222	311	15	15	2.936	1.55	0.00354955534934922	0.000468896261649032	35279342.3278082	12017069.828676	25	19.41	27284762.607997	35279342.3278082	45213883.8180928	16103193.8536379	12017069.828676	11399068.8162611	High	High	High	High	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	16
Q39034	ath:AT5G19890; Q39034	Peroxidase 59 OS=Arabidopsis thaliana OX=3702 GN=PER59 PE=1 SV=2	47.05	244	11	10	0.334	-1.58	0.00367967501392821	0.000487004988093398	8326744.705978	24896707.7025881	39.49	46.1	6868691.30322988	8326744.705978	14173621.9981893	24896707.7025881	9506045.01845637	26358996.7479403	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	15
Q9C8G5	A0A097NUQ9; ath:AT1G30360; Q56WQ8; Q94B69; Q94II2; Q9C8G5	CSC1-like protein ERD4 OS=Arabidopsis thaliana OX=3702 GN=ERD4 PE=1 SV=1	349.274	1874	29	28	2.219	1.15	0.00369778309380223	0.000489771370774106	556562663.647029	250776350.644682	34.77	14.3	283475595.106785	578648148.989149	556562663.647029	197829532.185851	260736917.299601	250776350.644682	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
