Accession	Description	MW [kDa]	calc. pI
Q9FE52	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=srpk3 PE=1 SV=1	61.1	6.8
F4J8C0	HRF1 protein OS=Arabidopsis thaliana OX=3702 GN=HRF1 PE=1 SV=1	30.2	9.26
Q9LW33	Phosphoglycerate mutase family protein OS=Arabidopsis thaliana OX=3702 GN=MEF14 PE=1 SV=1	44.3	5.22
Q8VYP6	Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Arabidopsis thaliana OX=3702 GN=At5g11010 PE=1 SV=1	41.5	5.85
Q8VYT2	Putative clathrin assembly protein At4g25940 OS=Arabidopsis thaliana OX=3702 GN=At4g25940 PE=2 SV=1	67.7	5.19
Q9FKU4	Vesicle transport protein OS=Arabidopsis thaliana OX=3702 GN=MDA7.6 PE=1 SV=1	24.9	7.87
Q56Y29	At1g13480 OS=Arabidopsis thaliana OX=3702 GN=At1g13480 PE=1 SV=1	44.5	5.57
Q8LGF7	Protein PEROXIN-4 OS=Arabidopsis thaliana OX=3702 GN=PEX4 PE=1 SV=1	17.7	8.16
Q9C5S1	Protein-tyrosine-phosphatase MKP1 OS=Arabidopsis thaliana OX=3702 GN=MKP1 PE=1 SV=1	85.9	6.74
Q9SVD7	Ubiquitin-conjugating enzyme E2 variant 1D OS=Arabidopsis thaliana OX=3702 GN=UEV1D PE=1 SV=1	16.5	6.68
Q94K48	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g62530 PE=1 SV=1	24.5	6.57
Q9FFV1	At5g54760 OS=Arabidopsis thaliana OX=3702 GN=MBG8.2 PE=1 SV=1	12.6	8.43
Q9ZVQ3	Glutathione S-transferase Z1 OS=Arabidopsis thaliana OX=3702 GN=GSTZ1 PE=1 SV=1	24.9	5.85
Q9C6L2	At1g25420/F2J7_16 OS=Arabidopsis thaliana OX=3702 GN=At1g25420 PE=1 SV=1	35.8	8.97
F4JNX2	Senescence/dehydration-associated protein At4g35985, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=P85 PE=2 SV=1	48.6	8.51
Q9LZ03	DNA topoisomerase 6 subunit A OS=Arabidopsis thaliana OX=3702 GN=TOP6A PE=1 SV=1	47.4	7.12
Q0WLY0	KH domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g33680 PE=1 SV=1	80.4	4.82
F4HZB5	Protein NETWORKED 1D OS=Arabidopsis thaliana OX=3702 GN=NET1D PE=3 SV=1	198.4	5.07
Q93ZW4	TMPIT-like protein OS=Arabidopsis thaliana OX=3702 GN=At1g33230 PE=1 SV=1	40	9.54
Q9FZ27	Germin-like protein subfamily 2 member 2 OS=Arabidopsis thaliana OX=3702 GN=At1g02335 PE=2 SV=1	23.4	8.56
Q9FH04	Alcohol dehydrogenase-like 7 OS=Arabidopsis thaliana OX=3702 GN=At5g42250 PE=2 SV=1	42.5	6.29
Q9SLM4	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g40980 PE=1 SV=2	69.1	5.52
Q9LSW2	Actin-related protein 9 OS=Arabidopsis thaliana OX=3702 GN=ARP9 PE=2 SV=1	66.4	6.3
Q9ZV04	Peroxidase 24 OS=Arabidopsis thaliana OX=3702 GN=PER24 PE=2 SV=1	38.2	8.62
O23267	AT4g14060/dl3070w OS=Arabidopsis thaliana OX=3702 GN=dl3070w PE=1 SV=1	17.3	5.94
Q8LAS8	S-formylglutathione hydrolase OS=Arabidopsis thaliana OX=3702 GN=SFGH PE=1 SV=2	31.6	6.37
O22978	T19F6.7 protein OS=Arabidopsis thaliana OX=3702 GN=T19F6.7 PE=1 SV=1	17.9	5.68
Q0WLC7	CBS domain-containing protein CBSCBSPB4 OS=Arabidopsis thaliana OX=3702 GN=CBSCBSPB4 PE=1 SV=2	59.8	6.25
Q9SN90	Structural maintenance of chromosomes protein 2-2 OS=Arabidopsis thaliana OX=3702 GN=SMC2-2 PE=2 SV=1	132.2	7.02
Q9SU81	Alkaline-phosphatase-like family protein OS=Arabidopsis thaliana OX=3702 GN=At4g29700 PE=1 SV=1	51.6	7.78
F4K725	ER membrane protein complex subunit 2 OS=Arabidopsis thaliana OX=3702 GN=At5g28220 PE=1 SV=1	34.9	8.29
Q9LHP2	Serine/arginine-rich SC35-like splicing factor SCL30A OS=Arabidopsis thaliana OX=3702 GN=SCL30A PE=1 SV=1	30.2	11.68
Q8L9S0	Bet1-like protein At1g29060 OS=Arabidopsis thaliana OX=3702 GN=At1g29060 PE=2 SV=1	15.1	9.45
Q8W115	PRA1 family protein A3 OS=Arabidopsis thaliana OX=3702 GN=PRA1A3 PE=2 SV=1	24.1	10.17
O64767	AICAR transformylase OS=Arabidopsis thaliana OX=3702 GN=At2g35040 PE=1 SV=1	59.4	6.3
Q9CAL3	Cysteine-rich receptor-like protein kinase 2 OS=Arabidopsis thaliana OX=3702 GN=CRK2 PE=1 SV=1	72	8.46
Q8VYR0	Calcium uniporter protein 5, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At1g57610 PE=2 SV=1	33.7	8.48
Q1ECK2	At5g64650 OS=Arabidopsis thaliana OX=3702 GN=MUB3.17 PE=1 SV=1	18.3	10.59
Q4PSL7	60S ribosomal protein L8-2 OS=Arabidopsis thaliana OX=3702 GN=RPL8B PE=2 SV=3	28	10.54
Q9LIR4	Dihydroxy-acid dehydratase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DHAD PE=1 SV=1	64.9	6.23
Q9LSC2	PTI1-like tyrosine-protein kinase At3g15890 OS=Arabidopsis thaliana OX=3702 GN=At3g15890 PE=2 SV=1	40.9	5.52
O49629	Probable plastid-lipid-associated protein 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP2 PE=1 SV=1	33.6	5.83
Q94F27	Hydroxyproline O-galactosyltransferase HPGT1 OS=Arabidopsis thaliana OX=3702 GN=HPTG1 PE=1 SV=1	37.7	8.25
Q9C6K3	Trihelix transcription factor DF1 OS=Arabidopsis thaliana OX=3702 GN=DF1 PE=4 SV=1	67.8	6.73
Q9FKT9	Nicotianamine synthase 2 OS=Arabidopsis thaliana OX=3702 GN=NAS2 PE=2 SV=1	35.7	6.52
Q9SGP9	At1g28510/F3M18_5 OS=Arabidopsis thaliana OX=3702 GN=At1g28510 PE=1 SV=1	19.2	9.58
Q9LFJ7	ADP-ribosylation factor B1B OS=Arabidopsis thaliana OX=3702 GN=ADP-ribosylation factor B1B PE=1 SV=1	21.8	8.4
Q94K78	Cytochrome b-c1 complex subunit 10, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=UCRY PE=1 SV=1	6	8.62
Q8LCV1	Thioredoxin domain-containing protein PLP3B OS=Arabidopsis thaliana OX=3702 GN=PLP3B PE=2 SV=1	26.4	5.76
F4K124	Protein-serine/threonine phosphatase OS=Arabidopsis thaliana OX=3702 GN=KAPP PE=1 SV=1	66	7.03
O04421	Signal recognition particle 14 kDa protein OS=Arabidopsis thaliana OX=3702 GN=SRP14 PE=2 SV=2	13.8	10.21
Q9C7F5	Nuclear transport factor 2B OS=Arabidopsis thaliana OX=3702 GN=NTF2B PE=1 SV=1	14	6.35
Q9LE20	Protein DETOXIFICATION 54 OS=Arabidopsis thaliana OX=3702 GN=DTX54 PE=2 SV=1	54.8	6.65
Q501D2	Protein IQ-DOMAIN 30 OS=Arabidopsis thaliana OX=3702 GN=IQD30 PE=1 SV=1	62.7	9.11
P0DI06	F-box/kelch-repeat protein At1g25211 OS=Arabidopsis thaliana OX=3702 GN=At1g25211 PE=4 SV=1	49.6	7.24
F4HSW8	GYF domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g27430 PE=1 SV=1	165.3	6.21
A0A1I9LSR4	WPP domain interacting protein 3 OS=Arabidopsis thaliana OX=3702 GN=WIP3 PE=1 SV=1	56.6	6.06
Q9M0F4	Acid phosphatase-like protein OS=Arabidopsis thaliana OX=3702 GN=At4g29270 PE=1 SV=1	28.7	8.53
Q9ZUS6	At2g37400 OS=Arabidopsis thaliana OX=3702 GN=At2g37400 PE=1 SV=1	38.1	7.15
C0LGQ7	Probable LRR receptor-like serine/threonine-protein kinase At4g20450 OS=Arabidopsis thaliana OX=3702 GN=At4g20450 PE=1 SV=1	100.6	5.71
O48670	Protein RER1A OS=Arabidopsis thaliana OX=3702 GN=RER1A PE=1 SV=1	22	9.13
Q9FPI0	3'-5'-exoribonuclease family protein OS=Arabidopsis thaliana OX=3702 GN=MLP3.20 PE=1 SV=1	29.9	4.82
Q9M815	Protein PLANT CADMIUM RESISTANCE 8 OS=Arabidopsis thaliana OX=3702 GN=PCR8 PE=1 SV=2	21.2	5.95
Q8RWC5	Fasciclin-like arabinogalactan protein 16 OS=Arabidopsis thaliana OX=3702 GN=FLA16 PE=2 SV=1	49.1	6.84
Q8H110	Protein XAP5 CIRCADIAN TIMEKEEPER OS=Arabidopsis thaliana OX=3702 GN=XCT PE=1 SV=1	39.2	6.65
Q1ECF5	LIM domain-containing protein PLIM2b OS=Arabidopsis thaliana OX=3702 GN=PLIM2B PE=1 SV=1	23	7.17
Q9SB31	AT-hook motif nuclear-localized protein 3 OS=Arabidopsis thaliana OX=3702 GN=AHL3 PE=1 SV=1	43	5.38
P21276	Superoxide dismutase [Fe] 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FSD1 PE=1 SV=4	23.8	6.52
A0A1P8B304	Myosin-like protein XIG OS=Arabidopsis thaliana OX=3702 GN=XIG PE=1 SV=1	167.7	7.34
Q9AST5	ER membrane protein complex subunit 6 OS=Arabidopsis thaliana OX=3702 GN=At5g49540 PE=1 SV=1	12.7	5.95
Q9SN46	Leucine-rich repeat extensin-like protein 5 OS=Arabidopsis thaliana OX=3702 GN=LRX5 PE=2 SV=2	90.8	6.71
P56797	30S ribosomal protein S2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=rps2 PE=3 SV=1	26.9	9.66
Q8VZP7	Mitochondrial substrate carrier family protein OS=Arabidopsis thaliana OX=3702 GN=SAMTL PE=1 SV=1	90.6	8.76
Q9LJZ2	Cytochrome P450, family 705, subfamily A, polypeptide 15 OS=Arabidopsis thaliana OX=3702 GN=CYP705A15 PE=1 SV=1	59.3	7.24
Q9ZNZ7	Ferredoxin-dependent glutamate synthase 1, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=GLU1 PE=1 SV=3	176.6	6.32
Q84WU0	O-fucosyltransferase 5 OS=Arabidopsis thaliana OX=3702 GN=OFUT5 PE=2 SV=1	63.6	7.58
Q9SB38	Pectinesterase inhibitor 4 OS=Arabidopsis thaliana OX=3702 GN=PMEI4 PE=2 SV=1	21.9	8.85
Q9SJ42	AIR carboxylase OS=Arabidopsis thaliana OX=3702 GN=At2g05140 PE=3 SV=1	17.4	5.8
F4J9E4	Mitochondrial ribosomal protein L51/S25/CI-B8 family protein OS=Arabidopsis thaliana OX=3702 GN=At3g59650 PE=1 SV=1	16.6	10.36
Q9M3D8	L-type lectin-domain containing receptor kinase I.3 OS=Arabidopsis thaliana OX=3702 GN=LECRK13 PE=1 SV=1	73.9	7.68
Q9XIG2	Protein PHLOEM UNLOADING MODULATOR OS=Arabidopsis thaliana OX=3702 GN=PLM PE=2 SV=1	47.1	9.07
Q9C5E7	Pumilio homolog 6, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=APUM6 PE=1 SV=1	96	7.36
Q94BZ1	Protein ZINC INDUCED FACILITATOR-LIKE 1 OS=Arabidopsis thaliana OX=3702 GN=ZIFL1 PE=2 SV=1	52.3	7.56
Q9C9B9	Inorganic pyrophosphatase TTM1 OS=Arabidopsis thaliana OX=3702 GN=TTM1 PE=1 SV=1	72.4	7.3
Q9M156	UDP-glycosyltransferase 72B1 OS=Arabidopsis thaliana OX=3702 GN=UGT72B1 PE=1 SV=1	52.9	6.19
Q8VXY7	Equilibrative nucleotide transporter 1 OS=Arabidopsis thaliana OX=3702 GN=ENT1 PE=1 SV=1	49.3	7.23
Q8VXZ7	Alpha-galactosidase 3 OS=Arabidopsis thaliana OX=3702 GN=AGAL3 PE=1 SV=1	48.3	4.92
Q9C9M7	Cyclin-dependent kinase D-2 OS=Arabidopsis thaliana OX=3702 GN=CDKD-2 PE=1 SV=1	39.2	9.06
Q9SI32	Phospholipid scramblase OS=Arabidopsis thaliana OX=3702 GN=At2g04940 PE=1 SV=1	44.1	8.66
C0Z274	Vacuolar fusion protein CCZ1 homolog B OS=Arabidopsis thaliana OX=3702 GN=CCZ1B PE=1 SV=1	55.4	6.64
Q9SUT5	Protein SGT1 homolog B OS=Arabidopsis thaliana OX=3702 GN=SGT1B PE=1 SV=1	39.7	5.11
Q8L466	At1g24050/T23E23_11 OS=Arabidopsis thaliana OX=3702 GN=At1g24050 PE=1 SV=1	20.5	5.27
P38666	60S ribosomal protein L24-2 OS=Arabidopsis thaliana OX=3702 GN=RPL24B PE=1 SV=2	18.6	10.78
Q9S7E6	Small nuclear ribonucleoprotein SmD3a OS=Arabidopsis thaliana OX=3702 GN=SMD3A PE=2 SV=1	13.8	10.21
A8MQN4	Calcineurin-like metallo-phosphoesterase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g53710 PE=1 SV=1	60	7.49
Q9LUX9	Probable NAD(P)H dehydrogenase (quinone) FQR1-like 3 OS=Arabidopsis thaliana OX=3702 GN=At5g58800 PE=1 SV=1	22.7	6.8
Q9S9Z8	14-3-3-like protein GF14 omicron OS=Arabidopsis thaliana OX=3702 GN=GRF11 PE=2 SV=2	28.8	5.01
Q9LPL6	TOM1-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=TOL3 PE=1 SV=1	55.8	5.01
F4JKM2	Cinnamyl alcohol dehydrogenase 5 OS=Arabidopsis thaliana OX=3702 GN=CAD5 PE=1 SV=1	38.7	5.44
Q9FIC2	Emb|CAB71880.1 OS=Arabidopsis thaliana OX=3702 GN=MYH9.5 PE=1 SV=1	102.3	7.49
O04376	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform OS=Arabidopsis thaliana OX=3702 GN=B'BETA PE=1 SV=1	57.4	6.64
Q9SRZ4	Peroxiredoxin-2C OS=Arabidopsis thaliana OX=3702 GN=PRXIIC PE=1 SV=1	17.4	5.54
Q9S790	Alpha 1,4-glycosyltransferase family protein OS=Arabidopsis thaliana OX=3702 GN=T16O11.2 PE=1 SV=1	46.8	8.94
B5TYT3	CSC1-like protein At1g11960 OS=Arabidopsis thaliana OX=3702 GN=At1g11960 PE=2 SV=1	88.2	8.81
Q42347	60S ribosomal protein L24-1 OS=Arabidopsis thaliana OX=3702 GN=RPL24A PE=1 SV=2	18.8	10.7
P58050	Cytochrome P450 71B13 OS=Arabidopsis thaliana OX=3702 GN=CYP71B13 PE=2 SV=1	56.4	8.62
Q9C6B6	ERAD-associated E3 ubiquitin-protein ligase component HRD3B OS=Arabidopsis thaliana OX=3702 GN=HRD3B PE=3 SV=1	67.7	6.32
Q8RWM6	Transmembrane emp24 domain-containing protein p24delta5 OS=Arabidopsis thaliana OX=3702 GN=At1g21900 PE=1 SV=1	24.3	6.73
Q38912	Rac-like GTP-binding protein ARAC3 OS=Arabidopsis thaliana OX=3702 GN=ARAC3 PE=1 SV=1	21.7	9.31
Q93VR3	GDP-mannose 3,5-epimerase OS=Arabidopsis thaliana OX=3702 GN=At5g28840 PE=1 SV=1	42.7	6.21
P49177	Guanine nucleotide-binding protein subunit beta OS=Arabidopsis thaliana OX=3702 GN=GB1 PE=1 SV=1	41	7.24
Q8RUD6	Protein HIGH ARSENIC CONTENT 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=HAC1 PE=1 SV=1	19	6.79
Q9LXC9	Soluble inorganic pyrophosphatase 6, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PPA6 PE=1 SV=1	33.4	6.01
A0A1I9LPR9	Major facilitator superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g05150 PE=1 SV=1	52.6	7.36
Q9SY76	Ankyrin repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At1g10340 PE=2 SV=1	63.9	6.28
A8MSF9	Expansin B3 OS=Arabidopsis thaliana OX=3702 GN=EXPB3 PE=1 SV=1	27.7	8.54
F4JNC9	RNA polymerase II transcription factor B subunit 2 OS=Arabidopsis thaliana OX=3702 GN=At4g17020 PE=1 SV=1	53.3	6.87
F4IW51	2'-phosphotransferase OS=Arabidopsis thaliana OX=3702 GN=emb1067 PE=1 SV=1	32.3	9.57
Q84P17	Probable acyl-activating enzyme 18, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=AAE18 PE=2 SV=1	81.1	6.6
Q8L9S7	RAB6-interacting golgin OS=Arabidopsis thaliana OX=3702 GN=At3g52920 PE=1 SV=1	21	6.95
Q9SU83	Alkaline-phosphatase-like family protein OS=Arabidopsis thaliana OX=3702 GN=At4g29680 PE=1 SV=1	54.6	5.88
A0A1P8AY28	Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At2g46560 PE=1 SV=1	274.3	6.3
Q9S7W4	AT3g07720/F17A17_6 OS=Arabidopsis thaliana OX=3702 GN=F17A17.6 PE=1 SV=1	35.7	5.22
Q8GXJ1	Histone deacetylase 15 OS=Arabidopsis thaliana OX=3702 GN=HDA15 PE=1 SV=2	60	5.87
Q8H1F1	AP-5 complex subunit zeta-1 OS=Arabidopsis thaliana OX=3702 GN=At3g15160 PE=1 SV=1	62.4	6.76
Q9C5T6	At3g09570 OS=Arabidopsis thaliana OX=3702 GN=F11F8_41 PE=1 SV=1	50.1	6.19
A0A1I9LS54	Eukaryotic aspartyl protease family protein OS=Arabidopsis thaliana OX=3702 GN=At3g51340 PE=3 SV=1	56	5.07
Q0WRJ2	3-dehydrosphinganine reductase TSC10A OS=Arabidopsis thaliana OX=3702 GN=TSC10A PE=1 SV=1	35	8.78
F4JJE5	Putative proteasome subunit alpha type-4-B OS=Arabidopsis thaliana OX=3702 GN=PAC2 PE=5 SV=1	22.7	7.49
Q9SMM8	At3g48710 OS=Arabidopsis thaliana OX=3702 GN=T8P19.220 PE=1 SV=1	52	8.73
O49621	MLO-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=MLO1 PE=1 SV=1	59.1	8.5
Q9SBA5	Inositol-tetrakisphosphate 1-kinase 1 OS=Arabidopsis thaliana OX=3702 GN=ITPK1 PE=1 SV=1	36.2	6.47
Q8S8K6	Serine carboxypeptidase-like 28 OS=Arabidopsis thaliana OX=3702 GN=SCPL28 PE=2 SV=2	52.1	8.43
Q9ZPS9	Serine/threonine-protein kinase BRI1-like 2 OS=Arabidopsis thaliana OX=3702 GN=BRL2 PE=1 SV=1	125.6	6.98
Q9SR03	Ankyrin repeat family protein OS=Arabidopsis thaliana OX=3702 GN=TPR10 PE=1 SV=1	49.2	5.27
Q9ZPJ8	Ammonium transporter 1 member 2 OS=Arabidopsis thaliana OX=3702 GN=AMT1-2 PE=1 SV=1	55	7.44
P51568	Serine/threonine-protein kinase AFC3 OS=Arabidopsis thaliana OX=3702 GN=AFC3 PE=1 SV=2	46.2	8.91
F8S296	Autophagy-related protein 2 OS=Arabidopsis thaliana OX=3702 GN=ATG2 PE=2 SV=1	209.1	5.4
Q8GRX2	Eukaryotic translation initiation factor 3 subunit J OS=Arabidopsis thaliana OX=3702 GN=At5g37475 PE=1 SV=1	25.2	4.82
Q39152	Fatty acyl-CoA reductase 1 OS=Arabidopsis thaliana OX=3702 GN=FAR1 PE=1 SV=1	55.4	8.22
Q9SZE7	Peroxidase 51 OS=Arabidopsis thaliana OX=3702 GN=PER51 PE=2 SV=1	36	8.27
O82240	Adenine nucleotide alpha hydrolases-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g47710 PE=1 SV=1	17.3	7.88
Q93V62	AT4g27450/F27G19_50 OS=Arabidopsis thaliana OX=3702 GN=At4g27450 PE=1 SV=1	27.6	5.86
A0A1P8ASX9	Immunoglobulin OS=Arabidopsis thaliana OX=3702 GN=At1g50120 PE=1 SV=1	62.4	6.55
Q9FRR1	PRA1 family protein E OS=Arabidopsis thaliana OX=3702 GN=PRA1E PE=1 SV=1	22.4	6.95
Q94AX0	AT4g17010/dl4535w OS=Arabidopsis thaliana OX=3702 GN=At4g17010 PE=1 SV=1	18.7	8.81
F4J703	Integrin-linked protein kinase family OS=Arabidopsis thaliana OX=3702 GN=At3g58760 PE=1 SV=1	53.3	6.68
Q9CAG1	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g67580 PE=1 SV=1	85.2	6.55
P0C5E2	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2 OS=Arabidopsis thaliana OX=3702 GN=LRK10L-1.2 PE=2 SV=3	72.8	7.68
Q9LHL8	Calcium load-activated calcium channel OS=Arabidopsis thaliana OX=3702 GN=T21B14.22 PE=1 SV=1	21.5	9.76
Q9C9V5	PAS domain-containing protein tyrosine kinase family protein OS=Arabidopsis thaliana OX=3702 GN=RAF11 PE=1 SV=1	82.2	8.02
O22703	Glycine-rich RNA-binding protein RZ1B OS=Arabidopsis thaliana OX=3702 GN=RZ1B PE=2 SV=1	34.4	8.38
A0A2H1ZEM4	Histidine triad nucleotide-binding 4 OS=Arabidopsis thaliana OX=3702 GN=HINT4 PE=1 SV=1	19.8	8.6
Q9FLH0	Protein CROWDED NUCLEI 4 OS=Arabidopsis thaliana OX=3702 GN=CRWN4 PE=1 SV=2	117	5.17
Q9ZS51	Peroxisomal membrane protein PMP22 OS=Arabidopsis thaliana OX=3702 GN=PMP22 PE=1 SV=1	21.7	10.65
Q9ZRP7	Delta(8)-fatty-acid desaturase 1 OS=Arabidopsis thaliana OX=3702 GN=SLD1 PE=1 SV=1	51.6	8.28
O82629	V-type proton ATPase subunit G2 OS=Arabidopsis thaliana OX=3702 GN=VHA-G2 PE=1 SV=2	11.7	5.58
Q9SR33	Oxysterol-binding protein-related protein 3B OS=Arabidopsis thaliana OX=3702 GN=ORP3B PE=2 SV=1	51.9	5.19
B9DFZ2	AT5G58370 protein OS=Arabidopsis thaliana OX=3702 GN=MCK7.24 PE=1 SV=1	52.4	10.13
Q9LZM7	PRA1 family protein A1 OS=Arabidopsis thaliana OX=3702 GN=PRA1A1 PE=2 SV=1	23.8	10.43
Q9ZVN9	General transcription factor IIH subunit 2 OS=Arabidopsis thaliana OX=3702 GN=GTF2H2 PE=1 SV=1	46.9	6.6
F4IYK6	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g08960 PE=1 SV=1	113.9	5.62
Q9ZWJ3	UDP-glycosyltransferase 85A2 OS=Arabidopsis thaliana OX=3702 GN=UGT85A2 PE=2 SV=1	54.3	5.49
Q9SZV5	Subtilisin-like protease SBT2.6 OS=Arabidopsis thaliana OX=3702 GN=SBT2.6 PE=2 SV=1	87.4	7.3
Q9ZSK3	Actin-depolymerizing factor 4 OS=Arabidopsis thaliana OX=3702 GN=ADF4 PE=1 SV=2	16	6.57
Q93XM6	Transcription factor TGA9 OS=Arabidopsis thaliana OX=3702 GN=TGA9 PE=1 SV=1	53.5	7.97
O23154	Cytochrome P450, family 81, subfamily D, polypeptide 3 OS=Arabidopsis thaliana OX=3702 GN=C7A10.20 PE=1 SV=2	55.8	7.87
Q39256	Polyubiquitin 8 OS=Arabidopsis thaliana OX=3702 GN=UBQ8 PE=3 SV=1	71.7	9.03
Q9SMR9	Cell wall integrity/stress response component-like protein OS=Arabidopsis thaliana OX=3702 GN=At4g39840 PE=1 SV=1	50.6	9.7
Q8W4D0	Peptidyl-prolyl cis-trans isomerase CYP71 OS=Arabidopsis thaliana OX=3702 GN=CYP71 PE=1 SV=1	70.9	6.62
Q0WV47	Uncharacterized protein At5g54780 OS=Arabidopsis thaliana OX=3702 GN=MBG8.4 PE=1 SV=1	49.4	8.02
Q9C9U7	Ras-related protein RABA6a OS=Arabidopsis thaliana OX=3702 GN=RABA6A PE=2 SV=1	26	5.16
Q94B71	Protein OBERON 3 OS=Arabidopsis thaliana OX=3702 GN=OBE3 PE=1 SV=1	82.3	6.84
Q94AQ7	Tail fiber OS=Arabidopsis thaliana OX=3702 GN=At5g11280 PE=1 SV=1	22.8	9.89
O64784	G-type lectin S-receptor-like serine/threonine-protein kinase At1g61360 OS=Arabidopsis thaliana OX=3702 GN=At1g61360 PE=2 SV=1	90.9	6.44
Q9LPJ1	Electron carrier/iron ion-binding protein OS=Arabidopsis thaliana OX=3702 GN=At1g32730 PE=1 SV=1	36.3	9.17
Q8L3T0	PLAC8 family protein OS=Arabidopsis thaliana OX=3702 GN=At2g45010 PE=1 SV=1	27.2	4.97
F4JF56	Glycosyltransferase family 29 (Sialyltransferase) family protein OS=Arabidopsis thaliana OX=3702 GN=SIA2 PE=1 SV=1	48.4	9.23
Q5XEZ8	U-box domain-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=PUB2 PE=2 SV=1	78.1	5.48
Q9FG35	Protein trichome birefringence OS=Arabidopsis thaliana OX=3702 GN=TBR PE=1 SV=1	67.9	8.79
Q42351	60S ribosomal protein L34-1 OS=Arabidopsis thaliana OX=3702 GN=RPL34A PE=2 SV=1	13.7	11.59
Q84WK4	Carboxylesterase SOBER1 OS=Arabidopsis thaliana OX=3702 GN=SOBER1 PE=1 SV=1	24.8	6.09
F4J4W3	40S ribosomal protein SA OS=Arabidopsis thaliana OX=3702 GN=RPSAb PE=1 SV=1	37.3	9.63
Q9T0I9	Calcium-binding EF-hand family protein OS=Arabidopsis thaliana OX=3702 GN=At4g38810 PE=1 SV=1	41.1	4.63
O22187	Probable receptor-like protein kinase At2g23200 OS=Arabidopsis thaliana OX=3702 GN=At2g23200 PE=3 SV=1	93.3	6.42
Q68KI4	Sodium/hydrogen exchanger 1 OS=Arabidopsis thaliana OX=3702 GN=NHX1 PE=1 SV=2	59.5	7.21
Q9FND9	Probable galactinol--sucrose galactosyltransferase 5 OS=Arabidopsis thaliana OX=3702 GN=RFS5 PE=1 SV=1	86.2	5.07
Q84R09	Glycosyltransferase OS=Arabidopsis thaliana OX=3702 GN=At4g18230 PE=1 SV=1	26.3	9.76
Q38846	Ethylene response sensor 1 OS=Arabidopsis thaliana OX=3702 GN=ERS1 PE=1 SV=1	68.3	6.52
A0A1P8BAY5	Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1 OS=Arabidopsis thaliana OX=3702 GN=DEP1 PE=1 SV=1	58.4	6.8
A0A1P8B9L6	Methylthioalkylmalate synthase 1 OS=Arabidopsis thaliana OX=3702 GN=MAM1 PE=1 SV=1	58.3	7.87
Q1LYX4	At3g24315 OS=Arabidopsis thaliana OX=3702 GN=AtSec20 PE=1 SV=1	32.8	8.76
Q9ZQI2	Casparian strip membrane protein 3 OS=Arabidopsis thaliana OX=3702 GN=CASP3 PE=1 SV=1	24.1	8.7
Q9LNH6	Novel plant SNARE 12 OS=Arabidopsis thaliana OX=3702 GN=NPSN12 PE=2 SV=1	29.9	7.87
A0A1P8BFC2	Remorin family protein OS=Arabidopsis thaliana OX=3702 GN=MRO11.21 PE=1 SV=1	25.3	6.35
Q93W05	At1g10590/F20B24_1 OS=Arabidopsis thaliana OX=3702 GN=At1g10590 PE=1 SV=1	15.4	7.2
O04951	Serine/threonine-protein phosphatase PP2A-5 catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=PP2A5 PE=1 SV=1	35	5.01
Q9C811	Nuclear pore complex protein NUP160 OS=Arabidopsis thaliana OX=3702 GN=NUP160 PE=1 SV=2	168.2	6.05
F4JB74	Late embryogenesis abundant protein-related / LEA protein-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g19430 PE=1 SV=1	58.5	6.07
