Protein	Subcellular.location	Transmembrane	log2_rbohC	log2_rbohF	log2_WT	Protein.names
Q8GYF5	Membrane; Single-pass type I membrane protein.	TRUE	0	4.99	0	Wall-associated receptor kinase-like 21 (EC 2.7.11.-)
Q9LE22	Nucleus		0.96	0	0	Probable calcium-binding protein CML27 (Calmodulin-like protein 27)
F4JPX3	Cell membrane; Lipid-anchor.		0	6.64	0	Probable serine/threonine-protein kinase PBL20 (EC 2.7.11.1) (PBS1-like protein 20)
A8MS85	Nucleus.		0	-2.94	0	Transcription elongation factor SPT6 homolog (AtSPT6)
F4JKB6	Nucleus.		-0.96	0	0	Proteinaceous RNase P 3 (EC 3.1.26.5)
Q9FZH0	Cytoplasm		-0.9	0	0	60S ribosomal protein L35a-2
Q8LEZ4	Mitochondrion.		0	-1.04	0	Protein NUCLEAR FUSION DEFECTIVE 5, mitochondrial
Q9LHR4	Plastid, chloroplast.		0	-6.64	0	Geranylgeranyl pyrophosphate synthase 12, chloroplastic (GGPP synthase 12) (GGPS12) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase 12) (Dimethylallyltranstransferase 12) (EC 2.5.1.1) (Farnesyl diphosphate synthase 12) (Farnesyltranstransferase 12) (EC 2.5.1.29) (Geranyltranstransferase 12) (EC 2.5.1.10)
Q9FJL8	Nucleus.		0	6.46	0	DNA-directed RNA polymerase subunit 5-like protein 1
Q9FIK0	Cytoplasm.		0	6.64	0	ATP-dependent 6-phosphofructokinase 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (Phosphohexokinase 2)
Q6NQ63	Unknown		0	-5.25	0	At1g01440
F4JCX1	Unknown		-1.98	0	0	beta-galactosidase (EC 3.2.1.23) (Lactase)
Q9CA59	Cytoplasm. Nucleus.		0	-1.46	0	NAP1-related protein 1 (Nucleosome/chromatin assembly factor group A6) (Protein SET homolog 1)
Q9M0A4	Cell membrane; Multi-pass membrane protein.	TRUE	-0.87	0	0	Putative cyclic nucleotide-gated ion channel 9 (Cyclic nucleotide- and calmodulin-regulated ion channel 9)
A0A1P8AZ96	Nucleus.		0	-4.77	0	Transcription elongation factor SPT5
Q9M9M4	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	2.63	0	Cellulose synthase-like protein D3 (AtCslD3) (EC 2.4.1.-) (Protein KOJAK)
Q93VP3	Cytoplasm. Nucleus.		0.73	0	0	Eukaryotic translation initiation factor 5A-2 (AtELF5A-2) (eIF-5A-2) (Protein FUMONISIN B1-RESISTANT 12)
Q9FZD1	Mitochondrion.		0.91	0	0	Pentatricopeptide repeat-containing protein At1g26460, mitochondrial
Q9FY88	Unknown	TRUE	0	2.38	0	Transmembrane protein (Uncharacterized protein At5g09270) (Uncharacterized protein At5g09270/T5E8_70) (Uncharacterized protein T5E8_70)
O23049	Plastid, chloroplast.		-1.21	0	0	50S ribosomal protein L6, chloroplastic (Protein EMBRYO DEFECTIVE 2394)
Q9XEX2	Cytoplasm.		-0.85	0	0	Peroxiredoxin-2B (EC 1.11.1.25) (Glutaredoxin-dependent peroxiredoxin) (Peroxiredoxin IIB) (Peroxiredoxin TPx1) (Thioredoxin peroxidase 2B) (Thioredoxin-dependent peroxidase 1)
Q9FFE9	Chloroplast		0	-2.72	0	Probable acyl-activating enzyme 6 (EC 6.2.1.-) (AMP-binding protein 6) (AtAMPBP6)
Q8RWI0	Chloroplast	TRUE	0	2.51	0	Myelin-associated oligodendrocyte basic protein (Uncharacterized protein At1g54520)
Q9LEX2	Extracellular		2	0	0	Cytochrome P450 monooxygenase-like protein (Cytochrome P450, family 76, subfamily C, polypeptide 7)
Q8W4E1	Mitochondrion.		0	-3.25	0	DEAD-box ATP-dependent RNA helicase 47, mitochondrial (EC 3.6.4.13) (Protein EMBRYO DEFECTIVE 1586) (Protein INCREASED SIZE EXCLUSION LIMIT 1)
Q9FKN5	Nucleus	TRUE	0	-2.31	0	Cardiomyopathy-associated protein (Gb|AAC35233.1|)
A0A1P8B6W3	Membrane.		0	-2.21	0	monogalactosyldiacylglycerol synthase (EC 2.4.1.46)
Q9C6L5	Membrane; Multi-pass membrane protein.	TRUE	-1.59	0	0	3-ketoacyl-CoA synthase 5 (KCS-5) (EC 2.3.1.199) (Eceriferum 60) (Very long-chain fatty acid condensing enzyme 5) (VLCFA condensing enzyme 5)
Q9FFE6	Peroxisome.		1.46	0	0	Probable acyl-activating enzyme 5, peroxisomal (EC 6.2.1.-) (AMP-binding protein 5) (AtAMPBP5)
Q0WVH0	Nucleus. Nucleus, nucleolus. Nucleus, nucleoplasm. Observed in the nucleolus of root cells in interphase and colocalizes with DNA in dividing root cells.		-0.82	0	0	Protein REBELOTE
Q9S7U3	Extracellular		0	-2.03	0	At4g12520 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (PEARLI 1-like protein)
O03042	Plastid, chloroplast.		-0.71	0	0	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
Q9FLX9	Nucleus, nucleolus.		-0.94	0	0	Notchless protein homolog
O22703	Nucleus.		0.98	0	0	Glycine-rich RNA-binding protein RZ1B (AtRZ-1a)
Q9SCV8	Secreted, extracellular space, apoplast.		-1.03	0	0	Beta-galactosidase 4 (Lactase 4) (EC 3.2.1.23)
Q8L6Z2	Membrane; Multi-pass membrane protein.		1.79	0	0	At1g07030 (Mitochondrial carrier protein, putative) (Mitochondrial substrate carrier family protein)
Q9FJF1	Unknown		0	-2.93	0	Putative GTP-binding protein ara-3 (Rab-type small GTP-binding protein-like) (Ras-related small GTP-binding family protein)
O81806	Unknown		-1.83	0	0	At4g35750 (SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein) (Uncharacterized protein AT4g35750) (Uncharacterized protein At4g35750; F8D20.260) (Uncharacterized protein F8D20.260)
E0X9N4	Nucleus.		-1.4	0	0	Putative RING-type E3 ubiquitin transferase C3H69 (EC 2.3.2.27) (Zinc finger CCCH domain-containing protein 69) (AtC3H69)
Q9LZI9	Cytoplasm, cytosol.		-1.05	0	0	Glutathione S-transferase F13 (AtGSTF13) (EC 2.5.1.18) (GST class-phi member 13)
Q9FKV1	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	-6.64	0	Probable anion transporter 5 (Phosphate transporter PHT4;6)
O04309	Cytoplasm		0	1.07	0	Jacalin-related lectin 35 (JA-responsive protein 1) (Myrosinase-binding protein-like At3g16470)
Q9SVZ6	Unknown		-0.67	0	0	60S acidic ribosomal protein P3-1
A0A2H1ZEJ0	Unknown		0	2.26	0	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Q9LVT8	Nucleus. Cytoplasm, perinuclear region.		0	-2.08	0	RGG repeats nuclear RNA binding protein C
Q9FUS6	Cytoplasm, cytosol.		0	1.29	0	Glutathione S-transferase U13 (AtGSTU13) (EC 2.5.1.18) (GST class-tau member 13) (Glutathione S-transferase 12)
Q9SGA5	Cytoplasm		1.02	0	0	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 12 (OTU domain-containing protein 12) (EC 3.4.19.12) (Deubiquitinating enzyme OTU12)
Q9C9Z1	Membrane; Multi-pass membrane protein.	TRUE	1.49	0	0	Putative zinc transporter At3g08650
Q9SAZ5	Cytoplasm, cytosol. Nucleus.		-2.22	0	0	Histidine-containing phosphotransfer protein 3
P0CZ23	Peroxisome.		0.67	0	0	Acyl-coenzyme A oxidase 3, peroxisomal (AOX 3) (Acyl-CoA oxidase 3) (EC 1.3.3.6) (Medium-chain acyl-CoA oxidase) (AtCX3)
Q9STF7	Secreted.		0	-4.16	0	Subtilisin-like protease SBT4.6 (EC 3.4.21.-) (Subtilase subfamily 4 member 6) (AtSBT4.6)
F4IEC7	Cytoplasm, Nucleus		1.54	0	0	CTC-interacting domain 11
Q8W1Y3	Cytoplasm, cytoskeleton. Mitochondrion. Associated with VDAC3 in mitochondrion.		0	-1.75	0	Kinesin-like protein KIN-14F (AtKIN14h) (Kinesin KP1) (Kinesin-like protein 1) (AtKP1)
A0A1P8BEK7	Nucleus		-1.17	0	0	RING-H2 group F2A
Q9SMX1	Nucleus. Mitochondrion matrix. Mitochondrion matrix, mitochondrion nucleoid.		-1.69	0	0	DExH-box ATP-dependent RNA helicase DExH16, mitochondrial (EC 3.6.4.13) (ATP-dependent RNA helicase SUV3) (AtSUV3) (Protein EMBRYO SAC DEVELOPMENT ARREST 15) (Protein POLLEN DEVELOPMENT DEFECTIVE 17) (Protein POLLEN DEVELOPMENT DEFECTIVE 26) (Protein SUPPRESSOR OF VAR 3)
O64725	Mitochondrion inner membrane; Single-pass membrane protein; Matrix side.	TRUE	0.83	0	0	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3-A
Q39191	Membrane; Single-pass type I membrane protein.	TRUE	2.16	0	0	Wall-associated receptor kinase 1 (EC 2.7.11.-)
F4J3N2	Plastid, chloroplast membrane; Multi-pass membrane protein.	TRUE	-1.35	0	0	Probable inactive ATP-dependent zinc metalloprotease FTSHI 5, chloroplastic (AtFTSHI5) (Protein EMBRYO DEFECTIVE 2458) (Protein FTSH INACTIVE PROTEASE 5)
C0LGT5	Membrane; Single-pass type I membrane protein.	TRUE	2.23	0	0	Probable LRR receptor-like serine/threonine-protein kinase At5g16900 (EC 2.7.11.1)
Q9SJA1	Membrane; Single-pass membrane protein.	TRUE	-2.1	0	0	Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (AtUBP19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19)
Q9SRG3	Endoplasmic reticulum lumen.		0.74	0	0	Protein disulfide isomerase-like 1-2 (AtPDIL1-2) (EC 5.3.4.1) (Protein disulfide-isomerase 2) (PDI 2) (Protein disulfide-isomerase 6) (AtPDI6)
Q9SKU2	Secreted, cell wall. Membrane; Peripheral membrane protein.		-1.38	0	0	Expansin-B1 (At-EXPB1) (AtEXPB1) (Ath-ExpBeta-1.5) (Beta-expansin-1)
A2RVT9	Cytoplasm.		0	-1.43	0	AT5G38890 protein (At5g38890) (Nucleic acid-binding, OB-fold-like protein)
Q7XJE6	Unknown		1.49	0	0	Metacaspase-1 (AtMC1) (EC 3.4.22.-) (Metacaspase 1b) (AtMCP1b) (Protein LSD ONE LIKE 3)
Q84J77	Chloroplast	TRUE	-1.03	0	0	Altered inheritance of mitochondria protein 24, mitochondrial
O64884	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	0	-2.14	0	O-fucosyltransferase 20 (O-FucT-20) (EC 2.4.1.-) (O-fucosyltransferase family protein)
O23482	Membrane; Multi-pass membrane protein.	TRUE	0	1.93	0	Oligopeptide transporter 3 (AtOPT3)
Q944P7	Plastid, chloroplast.		0	5.49	0	Leucine aminopeptidase 2, chloroplastic (EC 3.4.11.1) (Leucyl aminopeptidase 2) (AtLAP2) (Proline aminopeptidase 2) (EC 3.4.11.5) (Prolyl aminopeptidase 2)
A0A1P8ARJ0	Membrane; Multi-pass membrane protein.	TRUE	0	2.02	0	Iron regulated transporter 3
Q949P3	Cytoplasm		0	-6.64	0	Damage-control phosphatase At2g17340 (EC 3.1.3.-) (Sugar phosphates phosphatase At2g17340)
Q9SIH4	Cell membrane; Multi-pass membrane protein. Very restricted localization following a belt shape within the plasma membrane which coincides with the position of the Casparian strip membrane domain.	TRUE	0	-1.7	0	Casparian strip membrane protein 1 (AtCASP1)
Q0WT40	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	-6.64	0	Cellulose synthase-like protein B5 (AtCslB5) (EC 2.4.1.-)
Q9SLA7	Cytoplasm		0	-2.88	0	At2g25560/F13B15.22 (DNAJ heat shock N-terminal domain-containing protein) (Putative DnaJ protein)
Q9LYG5	Unknown	TRUE	0	6.64	0	Alpha/beta-Hydrolases superfamily protein (At5g11650) (Lysophospholipase-like protein)
Q9LXB5	Nucleus		0	6.64	0	Flowering-promoting factor 1-like protein 2 (FPF1-like protein 2)
Q8L8Q8	Unknown		0	-6.64	0	Uncharacterized protein At5g64816
Q7XZP5	Peroxisome membrane; Single-pass membrane protein.	TRUE	0	6.64	0	L-ascorbate peroxidase 5, peroxisomal (AtAPx04) (EC 1.11.1.11)
Q8GXN2	Cell membrane; Multi-pass membrane protein.	TRUE	0	6.64	0	Protein NRT1/ PTR FAMILY 7.2 (AtNPF7.2) (Nitrate transporter 1.8)
Q8RXV4	Unknown		0	-6.64	0	Serine esterase family protein (Uncharacterized protein At1g09990) (mRNA, clone: RAFL23-26-B05)
O23523	Cytoplasm, perinuclear region. Nucleus.		0	-2.78	0	RGG repeats nuclear RNA binding protein A (AtRGGA)
Q9SLM8	Secreted, cell wall.		0	-2.41	0	Pectin lyase-like superfamily protein (Putative polygalacturonase)
A0A1P8AZD5	Chloroplast, Golgi_body, Cytoplasm		0	-2.93	0	Myosin XI D
Q93VI4	Nucleus speckle. Cytoplasm. Shuttles between the nucleus and the cytoplasm but predominantly found in the nucleus.		0	3.57	0	Polyadenylate-binding protein 1 (AtPabN1) (Poly(A)-binding protein 1) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein I) (PABI)
Q9SG91	Mitochondrion inner membrane; Single-pass membrane protein.	TRUE	0	6.64	0	Cytochrome b-c1 complex subunit 8-1, mitochondrial (Complex III subunit 8-1) (Complex III subunit VIII) (Ubiquinol-cytochrome c oxidoreductase subunit 8-1) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)
Q9SJU4	Plastid, chloroplast, plastoglobule. Plastid, chloroplast stroma.		0	-6.64	0	Fructose-bisphosphate aldolase 1, chloroplastic (AtFBA1) (EC 4.1.2.13)
Q9FPH3	Nucleus		0	4.72	0	Probable low-specificity L-threonine aldolase 2 (EC 4.1.2.48) (Threonine aldolase 2)
Q940H3	Membrane; Single-pass type II membrane protein.	TRUE	0	-2.89	0	Protein trichome birefringence-like 36
Q9C8V1	Nucleus		0	6.64	0	Serine/Threonine-kinase ULK4-like protein (Uncharacterized protein T3M13.4)
F4JHW1	Nucleus		0	6.64	0	Phenazine biosynthesis PhzC/PhzF protein
Q944G9	Plastid, chloroplast, plastoglobule. Plastid, chloroplast stroma.		0	-6.64	0	Fructose-bisphosphate aldolase 2, chloroplastic (AtFBA2) (EC 4.1.2.13)
Q9M120	Chloroplast, Nucleus		0	3.43	0	Polyketide cyclase / dehydrase and lipid transport protein (Uncharacterized protein AT4g01650)
Q8LPL2	Cell membrane; Multi-pass membrane protein.	TRUE	0	-1.9	0	Protein NRT1/ PTR FAMILY 1.1 (AtNPF1.1) (Nitrate transporter 1.12)
P56797	Plastid, chloroplast.		0	-0.94	0	30S ribosomal protein S2, chloroplastic
Q84JR9	Nucleus		0	5.07	0	TPR repeat-containing thioredoxin TTL4 (Tetratricopeptide repeat thioredoxin-like 4)
O22243	Nucleus		0	2.55	0	DExH-box ATP-dependent RNA helicase DExH8 (EC 3.6.4.13) (Zinc finger CCCH domain-containing protein 31) (AtC3H31) (EC 3.6.4.12)
A0A1P8BBS3	Unknown	TRUE	0	6.64	0	Disease resistance protein (TIR-NBS-LRR class) family
A0A1I9LMD3	Nucleus		0	2.55	0	Dicer-like 3
Q9LZQ3	Unknown	TRUE	0	-3.35	0	Heme binding protein (Uncharacterized protein At3g62370) (Uncharacterized protein T12C14_70)
Q84M89	Nucleus		0	-6.64	0	Alpha-glucosidase 2 (Glucosidase 2) (EC 3.2.1.-)
O80713	Cytoplasm		0	3.7	0	Short-chain dehydrogenase reductase 3a (AtSDR3a) (EC 1.1.1.-)
Q9LME7	Unknown		0	6.64	0	RNA-binding (RRM/RBD/RNP motifs) family protein (T16E15.6 protein)
A0A1I9LQR2	Membrane; Multi-pass membrane protein.	TRUE	0	6.64	0	Phospholipid-transporting ATPase (EC 7.6.2.1)
Q9FJ90	Nucleus.		0	-6.64	0	Ethylene-responsive transcription factor ERF025
Q9ZUB2	Mitochondrion	TRUE	0	6.64	0	At1g23830/F5O8_36 (F5O8.39) (Transmembrane protein)
Q8L7Y9	Secreted.		0	-1.63	0	Non-specific phospholipase C1 (EC 3.1.-.-)
Q8VYE5	Secreted, cell wall. Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side.		0	2.62	0	Glucan endo-1,3-beta-glucosidase 12 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 12) ((1->3)-beta-glucanase 12) (Beta-1,3-endoglucanase 12) (Beta-1,3-glucanase 12)
Q94AS5	Endoplasmic reticulum membrane. Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	1.84	0	Isoprenylcysteine alpha-carbonyl methylesterase ICME (EC 3.1.1.n2) (Isoprenylcysteine methylesterase) (Prenylcysteine methylesterase) (AtPCME)
Q9SNA3	Cell membrane; Single-pass type I membrane protein.	TRUE	0	6.64	0	Putative receptor-like protein kinase At3g46340 (EC 2.7.11.1)
Q9FE06	Secreted. Secreted, extracellular space. Secreted, extracellular space, apoplast.		0	-1.12	0	Protein EXORDIUM-like 2
P0CH31	Unknown		0	6.64	0	Putative cullin-like protein 1
Q9LXG8	Nucleus.		0	-3.61	0	Probable WRKY transcription factor 72 (WRKY DNA-binding protein 72)
F4HPH5	Membrane; Multi-pass membrane protein.	TRUE	0	6.64	0	MATE efflux family protein
Q9FM29	Nucleus		0	6.64	0	At5g40690 (Dbj|BAA95711.1) (Histone-lysine N-methyltransferase trithorax-like protein)
Q6R8G7	Cell membrane; Multi-pass membrane protein.	TRUE	0	1.25	0	Phosphate transporter PHO1 homolog 3 (Protein PHO1 homolog 3) (AtPHO1;H3)
Q9FG37	Cytoplasm, cytoskeleton, microtubule organizing center. Nucleus envelope. Cytoplasm. Cytoplasm, cell cortex. Cytoplasm, cytoskeleton, spindle. Associated to motile complexes in the cytosol that transiently stabilized at fixed locations in the cell cortex (e.g. along the outer periclinal edge of newly formed crosswalls) from which microtubules grow away prior to microtubules nucleation. Colocalizes with gamma-tubulin at the nuclear surface where microtubules are nucleated. Localizes to both cortical cytoplasm and mitotic microtubule arrays of the nematode feeding giant cells.		0	-1.42	0	Gamma-tubulin complex component 3 (AtGCP3) (GCP-3) (Spindle pole body component 98) (AtSPC98)
Q6NLP2	Mitochondrion.		0	-2.09	0	Translation initiation factor IF3-1, mitochondrial (AtIF3-1) (AtINFC-1)
Q8S8P5	Nucleus.		0	1.92	0	Probable WRKY transcription factor 33 (WRKY DNA-binding protein 33)
P13114	Cytoplasm		0	-5.91	0	Chalcone synthase (EC 2.3.1.74) (Naringenin-chalcone synthase) (Protein TRANSPARENT TESTA 4)
Q0WNY5	Membrane; Single-pass type I membrane protein.	TRUE	0	1.37	0	Wall-associated receptor kinase-like 18 (EC 2.7.11.-)
Q9SF86	Cell membrane; Peripheral membrane protein.		0	3.47	0	Serine/threonine-protein kinase PCRK1 (EC 2.7.11.1) (Protein PTI-COMPROMISED RECEPTOR-LIKE CYTOPLASMIC KINASE 1)
F4ITS6	Nucleus		0	3.83	0	Transmembrane protein, putative (DUF1068)
O04086	Membrane; Single-pass type I membrane protein.	TRUE	0	1.98	0	Probable receptor-like protein kinase At1g11050 (EC 2.7.11.1)
Q84K84	Unknown	TRUE	0	-2.45	0	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein (Uncharacterized protein At5g63000)
Q9SKT7	Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side. Peroxisome.		0	3.22	0	External alternative NAD(P)H-ubiquinone oxidoreductase B4, mitochondrial (EC 1.6.5.9) (External alternative NADH dehydrogenase NDB4) (NADH:ubiquinone reductase (non-electrogenic) NDB4)
O80866	Nucleus		0	1.31	0	Oxysterol-binding protein-related protein 1A (OSBP-related protein 1A)
Q8GWT1	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	0	6.64	0	Probable galacturonosyltransferase 14 (EC 2.4.1.-)
Q8VZ75	Cytoplasm.		0	-6.64	0	D-aminoacyl-tRNA deacylase (EC 3.1.1.96)
F4I6M4	Cytoplasm, cytoskeleton. Bound to microtubules.		0	4.01	0	TORTIFOLIA1-like protein 1 (Microtubule-associated protein SPIRAL2-like)
Q9LD45	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	0	1.66	0	Bax inhibitor 1 (AtBI-1) (BI-1)
Q8VZJ9	Cytoplasm.		0	-2	0	Calmodulin-binding receptor-like cytoplasmic kinase 2 (EC 2.7.11.1)
Q9SJ20	Cytoplasm.		0	2.46	0	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Protein DEFECTIVE IN POLLEN DNA DEGRADATION 2) (Ribonucleoside-diphosphate reductase R1 subunit) (AtRNR1)
W8QP14	Golgi apparatus membrane; Single-pass type II membrane protein. Membrane; Single-pass type II membrane protein.		0	2.39	0	Hexosyltransferase (EC 2.4.1.-)
Q9C9J1	Golgi apparatus membrane; Single-pass membrane protein. Membrane; Single-pass membrane protein.	TRUE	0	6.64	0	At1g71690 (Glucuronoxylan 4-O-methyltransferase-like protein (DUF579)) (Uncharacterized protein At1g71690) (Uncharacterized protein F26A9.8)
Q39214	Endomembrane system; Peripheral membrane protein. Cell membrane; Peripheral membrane protein.		0	-1.4	0	Disease resistance protein RPM1 (Resistance to Pseudomonas syringae protein 3) (Resistance to Pseudomonas syringae pv. Maculicola protein 1)
Q9ZTP3	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	0	-3.26	0	Protein EIN4 (AtEIN4) (EC 2.7.11.-) (Protein ETHYLENE INSENSITIVE 4)
F4HWC3	Nucleus	TRUE	0	-1.84	0	Calponin-like domain protein
Q9S9U1	Cell membrane; Single-pass type I membrane protein.	TRUE	0	3.23	0	L-type lectin-domain containing receptor kinase VII.1 (LecRK-VII.1) (EC 2.7.11.1)
Q9ZVL3	Nucleus.		0	6.36	0	Nuclear transcription factor Y subunit C-3 (AtNF-YC-3)
A0A1P8BBP4	Nucleus		0	-4.59	0	Ran-binding protein in the microtubule-organising centre protein
A0A1P8B7U8	Membrane; Single-pass type II membrane protein.	TRUE	0	-1.99	0	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Q8RWN3	Nucleus		0	3.08	0	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Q43314	Cytoplasm		0	2.93	0	Glutamate dehydrogenase 1 (GDH 1) (EC 1.4.1.3)
Q9C5H9	Cytoplasm, cytoskeleton, microtubule organizing center. Nucleus envelope. Cytoplasm. Cytoplasm, cell cortex. Associated to motile complexes in the cytosol that transiently stabilized at fixed locations in the cell cortex (e.g. along the outer periclinal edge of newly formed crosswalls) from which microtubules grow away prior to microtubules nucleation. Colocalizes with gamma-tubulin at the nuclear surface where microtubules are nucleated.		0	1.18	0	Gamma-tubulin complex component 2 (AtGCP2) (GCP-2) (Protein SPIRAL 3) (Spindle pole body protein Spc97 homolog) (AtSpc97)
Q8S8Q6	Membrane; Multi-pass membrane protein.	TRUE	0	1.06	0	Tetraspanin-8
Q8GWB7	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	1.09	0	Inositol phosphorylceramide glucuronosyltransferase 1 (EC 2.4.1.17) (Glycogenin-like protein 6) (Plant glycogenin-like starch initiation protein 6)
Q8GUK1	Mitochondrion outer membrane; Multi-pass membrane protein.	TRUE	0	1.2	0	Protein DGS1, mitochondrial (Protein DGD1 SUPPRESSOR 1)
Q9LV23	Extracellular	TRUE	0	-2.08	0	Glycosyltransferase family 61 protein
F4JY12	Cytoplasm		0	-1.04	0	Protein GFS12 (EC 2.7.10.-) (BEACH domain-containing protein D) (BEACH-domain homolog D) (GREEN FLUORESCENT SEED 12)
Q8RXD5	Endoplasmic reticulum.		0	1.55	0	Kunitz trypsin inhibitor 4 (AtKTI4) (Kunitz trypsin inhibitor 1) (AtKTI1) (Trypsin protease inhibitor)
P02668	Secreted.		0	-2.32	0	Kappa-casein [Cleaved into: Casoxin-C; Casoxin-6; Casoxin-A; Casoxin-B; Casoplatelin]
Q9CAD6	Membrane; Single-pass membrane protein.	TRUE	0	-2.51	0	Cytochrome P450 86A7 (EC 1.14.14.1)
Q9LEQ9	Unknown		0	-1.33	0	ARM repeat superfamily protein (Uncharacterized protein At5g14790) (Uncharacterized protein T9L3_90)
Q9LE15	Secreted.		0	2.23	0	Peroxidase 4 (Atperox P4) (EC 1.11.1.7) (ATP46)
Q6NLY8	Unknown		0	3.64	0	HVA22-like protein k (AtHVA22k)
Q8LLD0	Nucleus membrane; Peripheral membrane protein; Nucleoplasmic side. Nucleus, nuclear pore complex.		0	2.72	0	Nuclear pore complex protein NUP96 (AtNUP96) (Nucleoporin 96) (Nucleoporin PRECOCIOUS) (Nucleoporin PRECOZ) (Protein MODIFIER OF SNC1 3) (Protein SUPPRESSOR OF AUXIN RESISTANCE 3)
O81027	Mitochondrion matrix.		0	1.97	0	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q8GW96	Membrane; Single-pass membrane protein.	TRUE	0	2.54	0	AAA-ATPase At2g18193 (EC 3.6.1.-)
P19172	Secreted, extracellular space. Intercellular space of infected plants.		0	-1.91	0	Acidic endochitinase (EC 3.2.1.14)
Q9SZ46	Membrane; Single-pass membrane protein.	TRUE	0	-2.24	0	Xanthotoxin 5-hydroxylase CYP82C4 (8-methoxypsoralen 5-hydroxylase CYP82C4) (EC 1.14.14.-) (Cytochrome P450 82C4) (Fraxetin 5-hydroxylase CYP82C4) (EC 1.14.14.164)
Q9SH59	Endoplasmic reticulum membrane; Multi-pass membrane protein. Vacuole membrane; Multi-pass membrane protein.	TRUE	0	4.02	0	Reticulon-like protein B3 (AtRTNLB3)
A0A1P8B5S3	Membrane; Multi-pass membrane protein.	TRUE	0	-1.89	0	Pleiotropic drug resistance 2
Q9FVV7	Mitochondrion. Nucleus.		0	3.66	0	DNA repair RAD52-like protein 1, mitochondrial (Organellar DNA-binding protein 1)
P50546	Plastid, chloroplast.		0	2.04	0	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta) (RNA polymerase subunit beta)
Q9FLP0	Nucleus. Cytoplasm. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, phragmoplast. Cytoplasm, cell cortex. During interphase, binds cortical microtubules. In M-phase, locates to the preprophase band. Binds the preprophase band but does not accumulate at the prophase spindle microtubules that coexists within the same cell. In the metaphase and anaphase, localized to spindle. In the phragmoplast, concentrated at the midzone where vesicles guide by MT coalesce to form the cell plate. Present in MT cortical arrays. Concentrated in dots surrounding the nuclei.		0	-2.51	0	65-kDa microtubule-associated protein 1 (AtMAP65-1)
Q9FY71	Secreted. Secreted, extracellular space. Secreted, extracellular space, apoplast.		0	-1.18	0	Protein EXORDIUM-like 4
A0A1P8B395	Membrane; Single-pass membrane protein.	TRUE	0	2.03	0	Cysteine-rich RLK (RECEPTOR-like protein kinase) 30
Q9SCW1	Secreted, extracellular space, apoplast.		0	-1.15	0	Beta-galactosidase 1 (Lactase 1) (EC 3.2.1.23)
Q9LFX3	Nucleus		0	-2.55	0	Tetratricopeptide repeat protein 38
Q9SWG0	Mitochondrion.		0	3.64	0	Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4)
Q9LVD6	Membrane; Single-pass membrane protein.	TRUE	0	2.32	0	Cytochrome P450 81F2 (EC 1.14.-.-) (Protein INDOLE GLUCOSINOLATE MODIFIER 1)
A0A178V841	Nucleus		0	-2.54	0	RING/FYVE/PHD-type zinc finger family protein
Q9M2U5	Extracellular		0	-2.69	0	Endochitinase EP3 (EC 3.2.1.14) (Chitinase class IV) (AtchitIV) (Protein HOMOLOG OF CARROT EP3-3 CHITINASE) (AtEP3)
